# mode    freq(cm-1)    alpha    beta2    activity
001   342.10821  -0.0191975  31465107.0512802  220255749.3755456
002   325.80312  16.1591584  18795194.9565525  131578115.0239251
003   325.76156  15.9898112  17725917.6340694  124092928.7713202
004   318.27600  20425.4750297  136100112.6700832  19726702147.1027489
005   316.77634  -20.4673033  33471479.8044427  234319209.6038623
006   297.02653  22.7840419  9985708.3633906  69923318.6090714
007   296.74238  450.4942299  9680663.1813625  76897169.5718198
008   296.16088  -22159.6782152  156290654.8802865  23191344821.2096634
009   289.52983  -8694.5151024  16476454.7669834  3517091862.3469434
010   260.69797  -21.9504502  14708720.6301490  102982726.4129990
011   260.47238  -16.9450132  15844306.1357750  110923063.9566885
012   251.25851  -326.7849161  7387643.6236964  56518982.5270327
013   170.93531  -53.9152208  229396.9635456  1736587.0413446
014   156.69020   6.7696852  21331165.8792676  149320223.4435405
015   156.60197   9.7503309  20931064.2336581  146521727.7384920
016    98.41486  -57.1738034  4432760.9944264  31176424.9315229
017    95.17274  -0.7537030  2649998.5555703  18550015.4520638
018    94.65899  -4.9841169  2463537.4877346  17245880.2781198
019    84.34638  -140.0931591  22131039.8569419  155800453.1942856
020    75.45719  -4.1596481  793569.2981625  5555763.7073759
021    74.91160  13.7784796  638803.0701674  4480164.5837045
022     0.25405   0.6034188  13.5731226  111.3970004
023     0.56962   0.5106933  141.2414159  1000.4262547
024     1.32317   1.2366502  625.1371620  4444.7787971
