"","Kappa / W K-1 m-1"
"T / K","xx","yy","zz","yz","xz","xy"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10.0","88.560559810640925","88.553856862297266","119.2179700570104","-0.013553565060094711","0.0016222450414419835","-0.012082920626653388"
"20.0","48.763120507615952","48.759431616759898","49.287016503843596","-0.012762101671065692","-0.0067766255831127869","-0.0066555701861060225"
"30.0","24.268421658755415","24.266585897070144","23.442128864775448","-0.0067036166209124056","-0.0038823112643880655","-0.003312508229903091"
"40.0","15.174584914526456","15.173437062360753","14.528377310827647","-0.004233613959517094","-0.0024882800061039245","-0.0020712684087253004"
"50.0","10.973040816292555","10.972210783732933","10.489061817566947","-0.0030668179306251476","-0.0018071520627503232","-0.0014977774621165235"
"60.0","8.6457069187535378","8.6450529327030381","8.262300379174663","-0.0024170323077974346","-0.0014248371315633171","-0.0011801057380044918"
"70.0","7.1875658167999639","7.1870221294198693","6.8627453864622359","-0.0020113568216511943","-0.0011873810521404748","-0.00098107600988561034"
"80.0","6.1925481588952209","6.1920797388355355","5.9002520562047946","-0.0017369438259085236","-0.0010288392670021905","-0.00084526168979010951"
"90.0","5.4694899514954809","5.4690762273399951","5.1943847592767725","-0.0015396214083538413","-0.00091665191884369437","-0.00074656928590146883"
"100.0","4.9179720497849653","4.917600045829265","4.6516148279569922","-0.0013905263244392615","-0.00083312678911696015","-0.00067129160088509555"
"110.0","4.4809323214701866","4.4805933781607639","4.2190851719467988","-0.0012731635112257951","-0.00076807466145568514","-0.00061163961873199129"
"120.0","4.1239585268656409","4.1236465875860242","3.8648106257717849","-0.001177620618334562","-0.00071540180308777743","-0.00056291606418617081"
"130.0","3.8252696783910713","3.8249803340608706","3.5683241639787751","-0.0010976956934435971","-0.00067135543859567746","-0.0005221478633388822"
"140.0","3.5704937343849688","3.5702236630647812","3.3159048396929069","-0.0010293663713160709","-0.00063356056909019643","-0.00048737328569794326"
"150.0","3.3497896602701949","3.3495362844432433","3.0979862072801483","-0.00096993387719127846","-0.00060047124658647345","-0.00045724909248727349"
"160.0","3.1561904425162925","3.1559517116979672","2.9076729953360454","-0.00091752733672666046","-0.0005710505233264485","-0.00043082434920462031"
"170.0","2.9846134502732036","2.9843876984728963","2.7398527864910673","-0.00087080850164620877","-0.00054458042625803258","-0.00040740533506462953"
"180.0","2.8312499362242067","2.8310357855839117","2.5906425138810829","-0.00082879138166468049","-0.00052054731412661795","-0.0003864722076669668"
"190.0","2.6931771053553422","2.6929733991305604","2.4570312727636976","-0.00079072940616980373","-0.00049857159645657657","-0.00036762604981820254"
