"","Kappa / W K-1 m-1"
"T / K","xx","yy","zz","yz","xz","xy"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10.0","587.195506547","587.195506547","445.632804888","-3.91956032952e-13","4.29867729133e-14","1.03253852949e-17"
"20.0","299.099761448","299.099761448","238.78379773","-1.96465356363e-13","1.8800410695e-14","-1.71784370879e-16"
"30.0","155.441363704","155.441363704","126.977039072","-1.01805957325e-13","1.0246564097e-14","-1.21038859273e-16"
"40.0","87.7503178445","87.7503178445","72.7115612082","-5.74004582863e-14","6.07960814254e-15","-7.1501835068e-17"
"50.0","55.9968703977","55.9968703977","46.7599472466","-3.66135469713e-14","3.99862361818e-15","-4.38634562676e-17"
"60.0","39.5679281288","39.5679281288","33.1961127835","-2.58674666638e-14","2.87529613769e-15","-2.90926135114e-17"
"70.0","30.1117092036","30.1117092036","25.3417732946","-1.9684133433e-14","2.21132912339e-15","-2.07826727534e-17"
"80.0","24.159344458","24.159344458","20.376940594","-1.57924468137e-14","1.7860886467e-15","-1.57730919627e-17"
"90.0","20.136710998","20.136710998","17.0110002761","-1.31626040655e-14","1.495285436e-15","-1.25484711304e-17"
"100.0","17.261992824","17.261992824","14.5995544809","-1.12833033965e-14","1.28570835845e-15","-1.03518452702e-17"
"110.0","15.1148219652","15.1148219652","12.7947985385","-9.87966867354e-15","1.12820221727e-15","-8.78280487694e-18"
"120.0","13.453446965","13.453446965","11.3961041363","-8.79363221246e-15","1.00576561864e-15","-7.61702459429e-18"
"130.0","12.1307350589","12.1307350589","10.2810559745","-7.92899660477e-15","9.0794085771e-16","-6.72204417347e-18"
"140.0","11.0527525841","11.0527525841","9.37132992689","-7.22434875121e-15","8.27995450183e-16","-6.01591921114e-18"
"150.0","10.1570432564","10.1570432564","8.6147494343","-6.63885630284e-15","7.61422862832e-16","-5.44584590266e-18"
"160.0","9.40061175244","9.40061175244","7.97533599576","-6.14441065091e-15","7.0510375163e-16","-4.97656414812e-18"
"170.0","8.75296054579","8.75296054579","7.42753192231","-5.7210741615e-15","6.56815477664e-16","-4.58378322148e-18"
"180.0","8.19188818528","8.19188818528","6.95270785033","-5.35433300474e-15","6.14933901415e-16","-4.25030478673e-18"
"190.0","7.70086214619","7.70086214619","6.53697544604","-5.03337950692e-15","5.78245745493e-16","-3.96365447809e-18"
"200.0","7.26732384972","7.26732384972","6.16977410001","-4.75000398112e-15","5.45826883002e-16","-3.7145886729e-18"
"210.0","6.88156423574","6.88156423574","5.84293208557","-4.49785959551e-15","5.16961222755e-16","-3.49612605519e-18"
"220.0","6.53595908899","6.53595908899","5.55002730395","-4.27196245089e-15","4.91085326441e-16","-3.30290337179e-18"
"230.0","6.22443732492","6.22443732492","5.28594227837","-4.06834396636e-15","4.67749764521e-16","-3.13073692273e-18"
"240.0","5.94210379001","5.94210379001","5.04654814055","-3.88380428441e-15","4.46591618597e-16","-2.97631783381e-18"
"250.0","5.68496679185","5.68496679185","4.82847614371","-3.71573414586e-15","4.27314565394e-16","-2.83699627233e-18"
"260.0","5.44973802508","5.44973802508","4.62894974084","-3.56198409481e-15","4.0967421786e-16","-2.71062600162e-18"
"270.0","5.23368344662","5.23368344662","4.44565932579","-3.42076699209e-15","3.93467176257e-16","-2.59545063225e-18"
"280.0","5.0345105988","5.0345105988","4.27666752091","-3.29058435652e-15","3.78522739805e-16","-2.49001917957e-18"
"290.0","4.85028240082","4.85028240082","4.12033666489","-3.1701700095e-15","3.64696554688e-16","-2.39312254262e-18"
"300.0","4.67935042867","4.67935042867","3.97527265861","-3.05844645999e-15","3.51865690609e-16","-2.30374513456e-18"
"310.0","4.52030272792","4.52030272792","3.84028101777","-2.95449078985e-15","3.39924784559e-16","-2.22102763299e-18"
"320.0","4.37192259236","4.37192259236","3.71433214193","-2.85750770785e-15","3.28782991144e-16","-2.14423799219e-18"
"330.0","4.23315570757","4.23315570757","3.59653361826","-2.76680807193e-15","3.18361549093e-16","-2.072748665e-18"
"340.0","4.10308374056","4.10308374056","3.486107949","-2.68179162525e-15","3.08591823206e-16","-2.00601854139e-18"
"350.0","3.98090294363","3.98090294363","3.38237450028","-2.60193301005e-15","2.99413716619e-16","-1.94357850585e-18"
"360.0","3.86590669336","3.86590669336","3.28473476523","-2.52677035391e-15","2.90774373985e-16","-1.88501979726e-18"
"370.0","3.75747114323","3.75747114323","3.19266025066","-2.45589589133e-15","2.82627115093e-16","-1.82998455776e-18"
"380.0","3.65504335901","3.65504335901","3.10568245667","-2.38894820825e-15","2.74930552398e-16","-1.7781581058e-18"
"390.0","3.55813144815","3.55813144815","3.02338453775","-2.32560579006e-15","2.67647856389e-16","-1.72926257766e-18"
"400.0","3.46629630165","3.46629630165","2.94539432412","-2.2655816236e-15","2.60746140605e-16","-1.68305166275e-18"
"410.0","3.37914464818","3.37914464818","2.87137845054","-2.20861865694e-15","2.54195944087e-16","-1.63930621959e-18"
"420.0","3.29632318259","3.29632318259","2.80103739189","-2.15448596149e-15","2.47970793662e-16","-1.59783060501e-18"
"430.0","3.21751357913","3.21751357913","2.73410124598","-2.1029754724e-15","2.42046832012e-16","-1.55844958483e-18"
"440.0","3.14242823706","3.14242823706","2.67032613476","-2.05389920769e-15","2.36402500221e-16","-1.52100572119e-18"
"450.0","3.07080663566","3.07080663566","2.60949112058","-2.00708688572e-15","2.31018265692e-16","-1.48535715269e-18"
"460.0","3.00241219892","3.00241219892","2.55139555296","-1.96238387582e-15","2.25876388014e-16","-1.45137570012e-18"
"470.0","2.93702958815","2.93702958815","2.49585677715","-1.91964942862e-15","2.20960716716e-16","-1.41894524333e-18"
"480.0","2.87446235572","2.87446235572","2.44270814808","-1.8787551425e-15","2.16256515944e-16","-1.3879603247e-18"
"490.0","2.8145309048","2.8145309048","2.39179730286","-1.83958362989e-15","2.11750311949e-16","-1.35832494339e-18"
"500.0","2.75707070913","2.75707070913","2.34298465343","-1.80202735378e-15","2.07429759982e-16","-1.32995151021e-18"
"510.0","2.70193075512","2.70193075512","2.29614206713","-1.76598760932e-15","2.03283527774e-16","-1.30275993891e-18"
"520.0","2.6489721741","2.6489721741","2.2511517082","-1.73137362987e-15","1.99301193217e-16","-1.27667685337e-18"
"530.0","2.59806703828","2.59806703828","2.20790501783","-1.69810180001e-15","1.95473154271e-16","-1.2516348937e-18"
"540.0","2.5490972979","2.5490972979","2.16630181371","-1.66609496076e-15","1.91790549409e-16","-1.2275721072e-18"
"550.0","2.50195384043","2.50195384043","2.12624949283","-1.63528179473e-15","1.88245187197e-16","-1.20443141231e-18"
"560.0","2.45653565586","2.45653565586","2.08766232416","-1.60559628048e-15","1.84829483787e-16","-1.18216012526e-18"
"570.0","2.41274909421","2.41274909421","2.05046081939","-1.57697720722e-15","1.81536407317e-16","-1.16070954137e-18"
"580.0","2.37050720362","2.37050720362","2.01457117194","-1.54936774219e-15","1.78359428332e-16","-1.1400345634e-18"
"590.0","2.32972913893","2.32972913893","1.97992475556","-1.52271504404e-15","1.75292475476e-16","-1.12009337113e-18"
"600.0","2.29033963207","2.29033963207","1.94645767546","-1.49696991676e-15","1.72329895812e-16","-1.10084712674e-18"
"610.0","2.25226851698","2.25226851698","1.91411036543","-1.47208649902e-15","1.69466419215e-16","-1.08225971162e-18"
"620.0","2.21545030232","2.21545030232","1.88282722564","-1.44802198501e-15","1.66697126356e-16","-1.06429749071e-18"
"630.0","2.17982378675","2.17982378675","1.85255629636","-1.42473637293e-15","1.64017419853e-16","-1.04692910109e-18"
"640.0","2.14533171166","2.14533171166","1.8232489635","-1.40219223798e-15","1.61422998245e-16","-1.03012526192e-18"
"650.0","2.11192044725","2.11192044725","1.79485969241","-1.38035452722e-15","1.5890983245e-16","-1.01385860323e-18"
"660.0","2.07953970826","2.07953970826","1.76734578672","-1.35919037373e-15","1.56474144449e-16","-9.98103511419e-19"
"670.0","2.04814229612","2.04814229612","1.74066716971","-1.33866892812e-15","1.5411238795e-16","-9.8283598965e-19"
"680.0","2.01768386466","2.01768386466","1.71478618553","-1.31876120534e-15","1.51821230814e-16","-9.68033531347e-19"
"690.0","1.98812270697","1.98812270697","1.68966741841","-1.2994399454e-15","1.49597539064e-16","-9.53675005505e-19"
"700.0","1.95941956107","1.95941956107","1.66527752782","-1.28067948636e-15","1.47438362316e-16","-9.39740552466e-19"
"710.0","1.93153743269","1.93153743269","1.64158509812","-1.26245564846e-15","1.45340920471e-16","-9.26211489089e-19"
"720.0","1.90444143318","1.90444143318","1.61856050102","-1.24474562821e-15","1.43302591563e-16","-9.13070222324e-19"
"730.0","1.87809863126","1.87809863126","1.59617576982","-1.22752790147e-15","1.41320900626e-16","-9.00300170339e-19"
"740.0","1.85247791711","1.85247791711","1.57440448407","-1.21078213465e-15","1.39393509502e-16","-8.87885690434e-19"
"750.0","1.82754987772","1.82754987772","1.55322166382","-1.19448910318e-15","1.3751820748e-16","-8.75812013058e-19"
"760.0","1.80328668229","1.80328668229","1.53260367237","-1.17863061666e-15","1.35692902702e-16","-8.64065181357e-19"
"770.0","1.77966197693","1.77966197693","1.5125281269","-1.16318945001e-15","1.33915614249e-16","-8.52631995685e-19"
"780.0","1.75665078761","1.75665078761","1.49297381612","-1.14814928004e-15","1.32184464862e-16","-8.41499962633e-19"
"790.0","1.73422943072","1.73422943072","1.47392062435","-1.13349462698e-15","1.30497674228e-16","-8.3065724814e-19"
"800.0","1.71237543047","1.71237543047","1.45534946145","-1.11921080052e-15","1.28853552777e-16","-8.20092634307e-19"
"810.0","1.69106744267","1.69106744267","1.43724219809","-1.10528384995e-15","1.27250495957e-16","-8.0979547958e-19"
"820.0","1.67028518413","1.67028518413","1.41958160585","-1.09170051808e-15","1.25686978939e-16","-7.99755681995e-19"
"830.0","1.65000936736","1.65000936736","1.40235130178","-1.07844819847e-15","1.24161551707e-16","-7.89963645214e-19"
"840.0","1.63022164001","1.63022164001","1.38553569701","-1.06551489592e-15","1.22672834512e-16","-7.80410247109e-19"
"850.0","1.61090452869","1.61090452869","1.36911994907","-1.05288918973e-15","1.2121951366e-16","-7.71086810668e-19"
"860.0","1.59204138686","1.59204138686","1.35308991762","-1.04056019963e-15","1.19800337585e-16","-7.61985077026e-19"
"870.0","1.5736163463","1.5736163463","1.33743212326","-1.02851755406e-15","1.18414113218e-16","-7.53097180447e-19"
"880.0","1.55561427206","1.55561427206","1.32213370934","-1.01675136073e-15","1.17059702593e-16","-7.44415625083e-19"
"890.0","1.53802072043","1.53802072043","1.3071824062","-1.00525217918e-15","1.15736019697e-16","-7.35933263378e-19"
"900.0","1.52082189986","1.52082189986","1.29256649804","-9.94010995153e-16","1.14442027529e-16","-7.27643275963e-19"
"910.0","1.50400463442","1.50400463442","1.2782747919","-9.83019196812e-16","1.13176735358e-16","-7.19539152946e-19"
"920.0","1.48755632977","1.48755632977","1.26429658874","-9.72268552431e-16","1.11939196168e-16","-7.11614676466e-19"
"930.0","1.47146494132","1.47146494132","1.25062165644","-9.61751189607e-16","1.10728504262e-16","-7.03863904416e-19"
"940.0","1.45571894449","1.45571894449","1.23724020451","-9.51459575821e-16","1.09543793032e-16","-6.96281155259e-19"
"950.0","1.44030730687","1.44030730687","1.22414286048","-9.4138650024e-16","1.08384232865e-16","-6.88860993828e-19"
"960.0","1.42521946218","1.42521946218","1.21132064779","-9.31525056686e-16","1.07249029184e-16","-6.81598218055e-19"
"970.0","1.4104452858","1.4104452858","1.19876496501","-9.21868627676e-16","1.06137420615e-16","-6.74487846552e-19"
"980.0","1.39597507195","1.39597507195","1.18646756643","-9.12410869455e-16","1.05048677269e-16","-6.67525106978e-19"
"990.0","1.38179951212","1.38179951212","1.17442054382","-9.03145697957e-16","1.03982099123e-16","-6.6070542514e-19"
"1000.0","1.367909675","1.367909675","1.16261630928","-8.9406727562e-16","1.02937014506e-16","-6.5402441477e-19"
