"v / cm^-1","I_Norm / AU"
"-600.34615","1.54684657596e-06"
"-599.84615","1.54887605196e-06"
"-599.34615","1.5509098906e-06"
"-598.84615","1.55294810468e-06"
"-598.34615","1.55499070707e-06"
"-597.84615","1.55703771069e-06"
"-597.34615","1.55908912848e-06"
"-596.84615","1.56114497347e-06"
"-596.34615","1.5632052587e-06"
"-595.84615","1.56526999728e-06"
"-595.34615","1.56733920235e-06"
"-594.84615","1.56941288713e-06"
"-594.34615","1.57149106487e-06"
"-593.84615","1.57357374886e-06"
"-593.34615","1.57566095245e-06"
"-592.84615","1.57775268904e-06"
"-592.34615","1.57984897209e-06"
"-591.84615","1.5819498151e-06"
"-591.34615","1.5840552316e-06"
"-590.84615","1.58616523522e-06"
"-590.34615","1.58827983959e-06"
"-589.84615","1.59039905842e-06"
"-589.34615","1.59252290547e-06"
"-588.84615","1.59465139454e-06"
"-588.34615","1.59678453949e-06"
"-587.84615","1.59892235424e-06"
"-587.34615","1.60106485274e-06"
"-586.84615","1.60321204901e-06"
"-586.34615","1.60536395711e-06"
"-585.84615","1.60752059118e-06"
"-585.34615","1.60968196539e-06"
"-584.84615","1.61184809396e-06"
"-584.34615","1.61401899117e-06"
"-583.84615","1.61619467136e-06"
"-583.34615","1.61837514893e-06"
"-582.84615","1.62056043832e-06"
"-582.34615","1.62275055402e-06"
"-581.84615","1.62494551059e-06"
"-581.34615","1.62714532265e-06"
"-580.84615","1.62935000486e-06"
"-580.34615","1.63155957193e-06"
"-579.84615","1.63377403865e-06"
"-579.34615","1.63599341986e-06"
"-578.84615","1.63821773043e-06"
"-578.34615","1.64044698533e-06"
"-577.84615","1.64268119954e-06"
"-577.34615","1.64492038815e-06"
"-576.84615","1.64716456625e-06"
"-576.34615","1.64941374904e-06"
"-575.84615","1.65166795175e-06"
"-575.34615","1.65392718967e-06"
"-574.84615","1.65619147815e-06"
"-574.34615","1.65846083261e-06"
"-573.84615","1.66073526851e-06"
"-573.34615","1.66301480139e-06"
"-572.84615","1.66529944684e-06"
"-572.34615","1.6675892205e-06"
"-571.84615","1.6698841381e-06"
