"v / cm^-1","I_Norm / AU"
"-600.34615","1.03997857777e-06"
"-599.84615","1.04125227416e-06"
"-599.34615","1.04252873914e-06"
"-598.84615","1.04380798116e-06"
"-598.34615","1.04509000868e-06"
"-597.84615","1.04637483022e-06"
"-597.34615","1.0476624543e-06"
"-596.84615","1.0489528895e-06"
"-596.34615","1.05024614444e-06"
"-595.84615","1.05154222773e-06"
"-595.34615","1.05284114806e-06"
"-594.84615","1.05414291414e-06"
"-594.34615","1.0554475347e-06"
"-593.84615","1.05675501851e-06"
"-593.34615","1.05806537439e-06"
"-592.84615","1.05937861117e-06"
"-592.34615","1.06069473774e-06"
"-591.84615","1.06201376301e-06"
"-591.34615","1.06333569591e-06"
"-590.84615","1.06466054545e-06"
"-590.34615","1.06598832062e-06"
"-589.84615","1.06731903049e-06"
"-589.34615","1.06865268414e-06"
"-588.84615","1.06998929069e-06"
"-588.34615","1.07132885932e-06"
"-587.84615","1.0726713992e-06"
"-587.34615","1.07401691958e-06"
"-586.84615","1.07536542972e-06"
"-586.34615","1.07671693893e-06"
"-585.84615","1.07807145655e-06"
"-585.34615","1.07942899196e-06"
"-584.84615","1.08078955457e-06"
"-584.34615","1.08215315384e-06"
"-583.84615","1.08351979926e-06"
"-583.34615","1.08488950035e-06"
"-582.84615","1.08626226669e-06"
"-582.34615","1.08763810788e-06"
"-581.84615","1.08901703356e-06"
"-581.34615","1.09039905341e-06"
"-580.84615","1.09178417715e-06"
"-580.34615","1.09317241454e-06"
"-579.84615","1.09456377538e-06"
"-579.34615","1.0959582695e-06"
"-578.84615","1.09735590678e-06"
"-578.34615","1.09875669714e-06"
"-577.84615","1.10016065052e-06"
"-577.34615","1.10156777693e-06"
"-576.84615","1.1029780864e-06"
"-576.34615","1.104391589e-06"
"-575.84615","1.10580829485e-06"
"-575.34615","1.10722821411e-06"
"-574.84615","1.10865135698e-06"
"-574.34615","1.11007773368e-06"
"-573.84615","1.11150735451e-06"
"-573.34615","1.11294022978e-06"
"-572.84615","1.11437636986e-06"
"-572.34615","1.11581578515e-06"
"-571.84615","1.1172584861e-06"
"-571.34615","1.1187044832e-06"
"-570.84615","1.12015378697e-06"
"-570.34615","1.121606408e-06"
"-569.84615","1.12306235689e-06"
"-569.34615","1.12452164432e-06"
"-568.84615","1.12598428098e-06"
"-568.34615","1.12745027763e-06"
"-567.84615","1.12891964504e-06"
"-567.34615","1.13039239407e-06"
"-566.84615","1.13186853558e-06"
"-566.34615","1.1333480805e-06"
"-565.84615","1.1348310398e-06"
"-565.34615","1.1363174245e-06"
"-564.84615","1.13780724564e-06"
"-564.34615","1.13930051434e-06"
"-563.84615","1.14079724174e-06"
"-563.34615","1.14229743904e-06"
"-562.84615","1.14380111748e-06"
"-562.34615","1.14530828834e-06"
"-561.84615","1.14681896297e-06"
"-561.34615","1.14833315273e-06"
"-560.84615","1.14985086906e-06"
"-560.34615","1.15137212343e-06"
"-559.84615","1.15289692736e-06"
"-559.34615","1.15442529242e-06"
"-558.84615","1.15595723022e-06"
"-558.34615","1.15749275245e-06"
"-557.84615","1.15903187079e-06"
"-557.34615","1.16057459703e-06"
"-556.84615","1.16212094296e-06"
"-556.34615","1.16367092046e-06"
"-555.84615","1.16522454142e-06"
"-555.34615","1.1667818178e-06"
"-554.84615","1.16834276162e-06"
"-554.34615","1.16990738494e-06"
"-553.84615","1.17147569985e-06"
"-553.34615","1.17304771852e-06"
"-552.84615","1.17462345317e-06"
"-552.34615","1.17620291605e-06"
"-551.84615","1.17778611947e-06"
"-551.34615","1.1793730758e-06"
"-550.84615","1.18096379745e-06"
"-550.34615","1.1825582969e-06"
"-549.84615","1.18415658665e-06"
"-549.34615","1.18575867929e-06"
"-548.84615","1.18736458745e-06"
"-548.34615","1.18897432379e-06"
"-547.84615","1.19058790105e-06"
"-547.34615","1.19220533202e-06"
"-546.84615","1.19382662954e-06"
"-546.34615","1.19545180651e-06"
"-545.84615","1.19708087586e-06"
"-545.34615","1.19871385061e-06"
"-544.84615","1.20035074381e-06"
"-544.34615","1.20199156858e-06"
"-543.84615","1.20363633808e-06"
"-543.34615","1.20528506555e-06"
"-542.84615","1.20693776427e-06"
"-542.34615","1.20859444756e-06"
"-541.84615","1.21025512884e-06"
"-541.34615","1.21191982154e-06"
"-540.84615","1.21358853919e-06"
"-540.34615","1.21526129534e-06"
"-539.84615","1.21693810363e-06"
"-539.34615","1.21861897773e-06"
"-538.84615","1.22030393139e-06"
"-538.34615","1.22199297842e-06"
"-537.84615","1.22368613266e-06"
"-537.34615","1.22538340804e-06"
"-536.84615","1.22708481854e-06"
"-536.34615","1.2287903782e-06"
"-535.84615","1.23050010112e-06"
"-535.34615","1.23221400146e-06"
"-534.84615","1.23393209344e-06"
"-534.34615","1.23565439135e-06"
"-533.84615","1.23738090952e-06"
"-533.34615","1.23911166238e-06"
"-532.84615","1.24084666438e-06"
"-532.34615","1.24258593006e-06"
"-531.84615","1.24432947401e-06"
"-531.34615","1.24607731089e-06"
"-530.84615","1.24782945543e-06"
"-530.34615","1.2495859224e-06"
"-529.84615","1.25134672667e-06"
"-529.34615","1.25311188314e-06"
"-528.84615","1.2548814068e-06"
"-528.34615","1.25665531268e-06"
"-527.84615","1.2584336159e-06"
"-527.34615","1.26021633165e-06"
"-526.84615","1.26200347515e-06"
"-526.34615","1.26379506172e-06"
"-525.84615","1.26559110674e-06"
"-525.34615","1.26739162566e-06"
"-524.84615","1.26919663398e-06"
"-524.34615","1.27100614728e-06"
"-523.84615","1.27282018122e-06"
"-523.34615","1.27463875151e-06"
"-522.84615","1.27646187394e-06"
"-522.34615","1.27828956436e-06"
"-521.84615","1.28012183871e-06"
"-521.34615","1.28195871298e-06"
"-520.84615","1.28380020323e-06"
"-520.34615","1.28564632562e-06"
"-519.84615","1.28749709633e-06"
"-519.34615","1.28935253167e-06"
"-518.84615","1.29121264798e-06"
"-518.34615","1.29307746169e-06"
"-517.84615","1.29494698931e-06"
"-517.34615","1.29682124739e-06"
"-516.84615","1.2987002526e-06"
"-516.34615","1.30058402165e-06"
"-515.84615","1.30247257134e-06"
"-515.34615","1.30436591855e-06"
"-514.84615","1.30626408021e-06"
"-514.34615","1.30816707334e-06"
"-513.84615","1.31007491506e-06"
"-513.34615","1.31198762254e-06"
"-512.84615","1.31390521301e-06"
"-512.34615","1.31582770383e-06"
"-511.84615","1.31775511239e-06"
"-511.34615","1.31968745618e-06"
"-510.84615","1.32162475276e-06"
"-510.34615","1.32356701978e-06"
"-509.84615","1.32551427497e-06"
"-509.34615","1.32746653612e-06"
"-508.84615","1.32942382112e-06"
"-508.34615","1.33138614794e-06"
"-507.84615","1.33335353462e-06"
"-507.34615","1.33532599929e-06"
"-506.84615","1.33730356016e-06"
"-506.34615","1.33928623552e-06"
"-505.84615","1.34127404376e-06"
"-505.34615","1.34326700332e-06"
"-504.84615","1.34526513276e-06"
"-504.34615","1.3472684507e-06"
"-503.84615","1.34927697585e-06"
"-503.34615","1.35129072702e-06"
"-502.84615","1.35330972308e-06"
"-502.34615","1.35533398302e-06"
"-501.84615","1.35736352589e-06"
"-501.34615","1.35939837083e-06"
"-500.84615","1.36143853707e-06"
"-500.34615","1.36348404395e-06"
"-499.84615","1.36553491086e-06"
"-499.34615","1.36759115732e-06"
"-498.84615","1.3696528029e-06"
"-498.34615","1.37171986729e-06"
"-497.84615","1.37379237026e-06"
"-497.34615","1.37587033167e-06"
"-496.84615","1.37795377148e-06"
"-496.34615","1.38004270973e-06"
"-495.84615","1.38213716656e-06"
