"v / cm^-1","I_Norm / AU"
"-600.34615","1.33292034155e-06"
"-599.84615","1.33462365672e-06"
"-599.34615","1.33633060277e-06"
"-598.84615","1.33804119035e-06"
"-598.34615","1.33975543014e-06"
"-597.84615","1.34147333287e-06"
"-597.34615","1.3431949093e-06"
"-596.84615","1.34492017022e-06"
"-596.34615","1.34664912648e-06"
"-595.84615","1.34838178897e-06"
"-595.34615","1.35011816859e-06"
"-594.84615","1.35185827632e-06"
"-594.34615","1.35360212316e-06"
"-593.84615","1.35534972016e-06"
"-593.34615","1.35710107839e-06"
"-592.84615","1.358856209e-06"
"-592.34615","1.36061512314e-06"
"-591.84615","1.36237783203e-06"
"-591.34615","1.36414434692e-06"
"-590.84615","1.36591467911e-06"
"-590.34615","1.36768883993e-06"
"-589.84615","1.36946684076e-06"
"-589.34615","1.37124869303e-06"
"-588.84615","1.3730344082e-06"
"-588.34615","1.37482399779e-06"
"-587.84615","1.37661747333e-06"
"-587.34615","1.37841484644e-06"
"-586.84615","1.38021612874e-06"
"-586.34615","1.38202133192e-06"
"-585.84615","1.38383046771e-06"
"-585.34615","1.38564354789e-06"
"-584.84615","1.38746058425e-06"
"-584.34615","1.38928158868e-06"
"-583.84615","1.39110657307e-06"
"-583.34615","1.39293554937e-06"
"-582.84615","1.39476852959e-06"
"-582.34615","1.39660552576e-06"
"-581.84615","1.39844654996e-06"
"-581.34615","1.40029161435e-06"
"-580.84615","1.40214073108e-06"
"-580.34615","1.4039939124e-06"
"-579.84615","1.40585117057e-06"
"-579.34615","1.40771251792e-06"
"-578.84615","1.4095779668e-06"
"-578.34615","1.41144752964e-06"
"-577.84615","1.41332121889e-06"
"-577.34615","1.41519904707e-06"
"-576.84615","1.41708102672e-06"
"-576.34615","1.41896717047e-06"
"-575.84615","1.42085749096e-06"
"-575.34615","1.42275200088e-06"
"-574.84615","1.424650713e-06"
"-574.34615","1.42655364012e-06"
"-573.84615","1.42846079507e-06"
"-573.34615","1.43037219077e-06"
"-572.84615","1.43228784016e-06"
"-572.34615","1.43420775623e-06"
"-571.84615","1.43613195205e-06"
"-571.34615","1.43806044069e-06"
"-570.84615","1.43999323533e-06"
"-570.34615","1.44193034914e-06"
"-569.84615","1.4438717954e-06"
"-569.34615","1.44581758739e-06"
"-568.84615","1.44776773848e-06"
"-568.34615","1.44972226208e-06"
"-567.84615","1.45168117163e-06"
"-567.34615","1.45364448065e-06"
"-566.84615","1.4556122027e-06"
"-566.34615","1.45758435141e-06"
"-565.84615","1.45956094044e-06"
"-565.34615","1.4615419835e-06"
"-564.84615","1.46352749439e-06"
"-564.34615","1.46551748693e-06"
"-563.84615","1.46751197499e-06"
"-563.34615","1.46951097253e-06"
"-562.84615","1.47151449354e-06"
"-562.34615","1.47352255205e-06"
"-561.84615","1.47553516218e-06"
"-561.34615","1.47755233808e-06"
"-560.84615","1.47957409397e-06"
"-560.34615","1.48160044412e-06"
"-559.84615","1.48363140285e-06"
"-559.34615","1.48566698455e-06"
"-558.84615","1.48770720365e-06"
"-558.34615","1.48975207465e-06"
"-557.84615","1.49180161211e-06"
"-557.34615","1.49385583063e-06"
"-556.84615","1.49591474488e-06"
"-556.34615","1.4979783696e-06"
"-555.84615","1.50004671956e-06"
"-555.34615","1.50211980961e-06"
"-554.84615","1.50419765465e-06"
"-554.34615","1.50628026965e-06"
"-553.84615","1.50836766962e-06"
"-553.34615","1.51045986964e-06"
"-552.84615","1.51255688486e-06"
"-552.34615","1.51465873048e-06"
"-551.84615","1.51676542176e-06"
"-551.34615","1.51887697402e-06"
"-550.84615","1.52099340265e-06"
"-550.34615","1.52311472309e-06"
"-549.84615","1.52524095085e-06"
"-549.34615","1.52737210149e-06"
"-548.84615","1.52950819066e-06"
"-548.34615","1.53164923404e-06"
"-547.84615","1.53379524739e-06"
"-547.34615","1.53594624654e-06"
"-546.84615","1.53810224736e-06"
"-546.34615","1.5402632658e-06"
"-545.84615","1.54242931788e-06"
"-545.34615","1.54460041968e-06"
"-544.84615","1.54677658733e-06"
"-544.34615","1.54895783705e-06"
"-543.84615","1.5511441851e-06"
"-543.34615","1.55333564782e-06"
"-542.84615","1.55553224162e-06"
"-542.34615","1.55773398297e-06"
"-541.84615","1.55994088841e-06"
"-541.34615","1.56215297453e-06"
"-540.84615","1.56437025802e-06"
"-540.34615","1.56659275561e-06"
"-539.84615","1.56882048411e-06"
"-539.34615","1.5710534604e-06"
"-538.84615","1.57329170141e-06"
"-538.34615","1.57553522418e-06"
"-537.84615","1.57778404577e-06"
"-537.34615","1.58003818334e-06"
"-536.84615","1.58229765412e-06"
"-536.34615","1.5845624754e-06"
"-535.84615","1.58683266454e-06"
"-535.34615","1.58910823898e-06"
"-534.84615","1.59138921623e-06"
"-534.34615","1.59367561387e-06"
"-533.84615","1.59596744954e-06"
"-533.34615","1.59826474098e-06"
"-532.84615","1.60056750598e-06"
"-532.34615","1.6028757624e-06"
"-531.84615","1.6051895282e-06"
"-531.34615","1.60750882138e-06"
"-530.84615","1.60983366006e-06"
"-530.34615","1.61216406238e-06"
"-529.84615","1.61450004659e-06"
"-529.34615","1.61684163102e-06"
"-528.84615","1.61918883405e-06"
"-528.34615","1.62154167415e-06"
"-527.84615","1.62390016987e-06"
"-527.34615","1.62626433984e-06"
"-526.84615","1.62863420275e-06"
"-526.34615","1.63100977739e-06"
"-525.84615","1.6333910826e-06"
"-525.34615","1.63577813734e-06"
"-524.84615","1.6381709606e-06"
"-524.34615","1.64056957149e-06"
"-523.84615","1.64297398918e-06"
"-523.34615","1.64538423293e-06"
"-522.84615","1.64780032206e-06"
"-522.34615","1.65022227599e-06"
"-521.84615","1.65265011423e-06"
"-521.34615","1.65508385634e-06"
"-520.84615","1.657523522e-06"
"-520.34615","1.65996913094e-06"
"-519.84615","1.66242070299e-06"
"-519.34615","1.66487825806e-06"
"-518.84615","1.66734181614e-06"
"-518.34615","1.66981139733e-06"
"-517.84615","1.67228702176e-06"
"-517.34615","1.67476870971e-06"
"-516.84615","1.67725648149e-06"
"-516.34615","1.67975035754e-06"
"-515.84615","1.68225035835e-06"
"-515.34615","1.68475650453e-06"
"-514.84615","1.68726881674e-06"
"-514.34615","1.68978731577e-06"
"-513.84615","1.69231202246e-06"
"-513.34615","1.69484295778e-06"
"-512.84615","1.69738014274e-06"
"-512.34615","1.69992359847e-06"
"-511.84615","1.7024733462e-06"
"-511.34615","1.70502940722e-06"
"-510.84615","1.70759180294e-06"
"-510.34615","1.71016055483e-06"
"-509.84615","1.71273568449e-06"
"-509.34615","1.71531721358e-06"
"-508.84615","1.71790516387e-06"
"-508.34615","1.72049955722e-06"
"-507.84615","1.72310041558e-06"
"-507.34615","1.725707761e-06"
"-506.84615","1.72832161563e-06"
"-506.34615","1.73094200169e-06"
"-505.84615","1.73356894153e-06"
"-505.34615","1.73620245757e-06"
"-504.84615","1.73884257234e-06"
"-504.34615","1.74148930847e-06"
"-503.84615","1.74414268867e-06"
"-503.34615","1.74680273577e-06"
"-502.84615","1.74946947269e-06"
"-502.34615","1.75214292245e-06"
"-501.84615","1.75482310816e-06"
"-501.34615","1.75751005304e-06"
"-500.84615","1.76020378043e-06"
"-500.34615","1.76290431373e-06"
"-499.84615","1.76561167647e-06"
"-499.34615","1.76832589228e-06"
"-498.84615","1.77104698489e-06"
"-498.34615","1.77377497813e-06"
"-497.84615","1.77650989595e-06"
"-497.34615","1.77925176237e-06"
"-496.84615","1.78200060156e-06"
"-496.34615","1.78475643776e-06"
"-495.84615","1.78751929534e-06"
"-495.34615","1.79028919876e-06"
"-494.84615","1.79306617259e-06"
"-494.34615","1.79585024153e-06"
"-493.84615","1.79864143036e-06"
"-493.34615","1.80143976399e-06"
"-492.84615","1.80424526742e-06"
"-492.34615","1.80705796578e-06"
"-491.84615","1.8098778843e-06"
"-491.34615","1.81270504832e-06"
"-490.84615","1.81553948331e-06"
"-490.34615","1.81838121482e-06"
"-489.84615","1.82123026855e-06"
"-489.34615","1.82408667029e-06"
"-488.84615","1.82695044595e-06"
"-488.34615","1.82982162156e-06"
"-487.84615","1.83270022326e-06"
"-487.34615","1.83558627732e-06"
"-486.84615","1.8384798101e-06"
"-486.34615","1.84138084811e-06"
"-485.84615","1.84428941796e-06"
"-485.34615","1.84720554637e-06"
"-484.84615","1.85012926021e-06"
"-484.34615","1.85306058643e-06"
"-483.84615","1.85599955215e-06"
"-483.34615","1.85894618456e-06"
"-482.84615","1.86190051101e-06"
"-482.34615","1.86486255896e-06"
"-481.84615","1.86783235599e-06"
"-481.34615","1.87080992981e-06"
"-480.84615","1.87379530825e-06"
"-480.34615","1.87678851928e-06"
"-479.84615","1.87978959097e-06"
"-479.34615","1.88279855155e-06"
"-478.84615","1.88581542934e-06"
