"v / cm^-1","I_Norm / AU"
"-600.34615","5.60774679519e-07"
"-599.84615","5.61280274524e-07"
"-599.34615","5.61786817213e-07"
"-598.84615","5.6229431025e-07"
"-598.34615","5.62802756307e-07"
"-597.84615","5.63312158065e-07"
"-597.34615","5.63822518219e-07"
"-596.84615","5.64333839468e-07"
"-596.34615","5.64846124526e-07"
"-595.84615","5.65359376114e-07"
"-595.34615","5.65873596964e-07"
"-594.84615","5.66388789818e-07"
"-594.34615","5.66904957428e-07"
"-593.84615","5.67422102556e-07"
"-593.34615","5.67940227974e-07"
"-592.84615","5.68459336464e-07"
"-592.34615","5.68979430819e-07"
"-591.84615","5.69500513842e-07"
"-591.34615","5.70022588347e-07"
"-590.84615","5.70545657156e-07"
"-590.34615","5.71069723105e-07"
"-589.84615","5.71594789037e-07"
"-589.34615","5.72120857808e-07"
"-588.84615","5.72647932284e-07"
"-588.34615","5.7317601534e-07"
"-587.84615","5.73705109864e-07"
"-587.34615","5.74235218754e-07"
"-586.84615","5.74766344918e-07"
"-586.34615","5.75298491275e-07"
"-585.84615","5.75831660755e-07"
"-585.34615","5.763658563e-07"
"-584.84615","5.76901080862e-07"
"-584.34615","5.77437337403e-07"
"-583.84615","5.77974628899e-07"
"-583.34615","5.78512958333e-07"
"-582.84615","5.79052328703e-07"
"-582.34615","5.79592743016e-07"
"-581.84615","5.8013420429e-07"
"-581.34615","5.80676715558e-07"
"-580.84615","5.81220279859e-07"
"-580.34615","5.81764900247e-07"
"-579.84615","5.82310579786e-07"
"-579.34615","5.82857321552e-07"
"-578.84615","5.83405128634e-07"
"-578.34615","5.8395400413e-07"
"-577.84615","5.84503951151e-07"
"-577.34615","5.85054972819e-07"
"-576.84615","5.8560707227e-07"
"-576.34615","5.8616025265e-07"
"-575.84615","5.86714517116e-07"
"-575.34615","5.87269868839e-07"
"-574.84615","5.87826311002e-07"
"-574.34615","5.88383846798e-07"
"-573.84615","5.88942479434e-07"
"-573.34615","5.89502212128e-07"
"-572.84615","5.90063048111e-07"
"-572.34615","5.90624990626e-07"
"-571.84615","5.9118804293e-07"
"-571.34615","5.91752208288e-07"
"-570.84615","5.92317489983e-07"
"-570.34615","5.92883891307e-07"
"-569.84615","5.93451415564e-07"
"-569.34615","5.94020066074e-07"
"-568.84615","5.94589846167e-07"
"-568.34615","5.95160759186e-07"
"-567.84615","5.95732808489e-07"
"-567.34615","5.96305997443e-07"
"-566.84615","5.96880329432e-07"
"-566.34615","5.9745580785e-07"
"-565.84615","5.98032436106e-07"
"-565.34615","5.98610217621e-07"
"-564.84615","5.99189155829e-07"
"-564.34615","5.99769254179e-07"
"-563.84615","6.00350516131e-07"
"-563.34615","6.0093294516e-07"
"-562.84615","6.01516544753e-07"
"-562.34615","6.02101318413e-07"
"-561.84615","6.02687269653e-07"
"-561.34615","6.03274402004e-07"
"-560.84615","6.03862719006e-07"
"-560.34615","6.04452224215e-07"
"-559.84615","6.05042921203e-07"
"-559.34615","6.05634813551e-07"
"-558.84615","6.06227904859e-07"
"-558.34615","6.06822198737e-07"
"-557.84615","6.07417698811e-07"
"-557.34615","6.08014408722e-07"
"-556.84615","6.08612332123e-07"
"-556.34615","6.09211472682e-07"
"-555.84615","6.09811834083e-07"
"-555.34615","6.10413420022e-07"
"-554.84615","6.11016234211e-07"
"-554.34615","6.11620280376e-07"
"-553.84615","6.12225562259e-07"
"-553.34615","6.12832083614e-07"
"-552.84615","6.13439848212e-07"
"-552.34615","6.14048859837e-07"
"-551.84615","6.14659122291e-07"
"-551.34615","6.15270639387e-07"
"-550.84615","6.15883414957e-07"
"-550.34615","6.16497452844e-07"
"-549.84615","6.1711275691e-07"
"-549.34615","6.1772933103e-07"
"-548.84615","6.18347179095e-07"
"-548.34615","6.18966305011e-07"
"-547.84615","6.195867127e-07"
"-547.34615","6.202084061e-07"
"-546.84615","6.20831389164e-07"
"-546.34615","6.2145566586e-07"
"-545.84615","6.22081240173e-07"
"-545.34615","6.22708116103e-07"
"-544.84615","6.23336297668e-07"
"-544.34615","6.23965788898e-07"
"-543.84615","6.24596593843e-07"
"-543.34615","6.25228716568e-07"
"-542.84615","6.25862161153e-07"
"-542.34615","6.26496931695e-07"
"-541.84615","6.27133032309e-07"
"-541.34615","6.27770467124e-07"
"-540.84615","6.28409240288e-07"
"-540.34615","6.29049355963e-07"
"-539.84615","6.2969081833e-07"
"-539.34615","6.30333631585e-07"
"-538.84615","6.30977799943e-07"
"-538.34615","6.31623327635e-07"
"-537.84615","6.32270218908e-07"
"-537.34615","6.32918478027e-07"
"-536.84615","6.33568109275e-07"
"-536.34615","6.34219116952e-07"
"-535.84615","6.34871505373e-07"
"-535.34615","6.35525278875e-07"
"-534.84615","6.36180441809e-07"
"-534.34615","6.36836998544e-07"
"-533.84615","6.37494953469e-07"
"-533.34615","6.38154310988e-07"
"-532.84615","6.38815075525e-07"
"-532.34615","6.39477251522e-07"
"-531.84615","6.40140843437e-07"
"-531.34615","6.40805855748e-07"
"-530.84615","6.41472292952e-07"
"-530.34615","6.42140159562e-07"
"-529.84615","6.42809460111e-07"
"-529.34615","6.4348019915e-07"
"-528.84615","6.4415238125e-07"
"-528.34615","6.44826010999e-07"
"-527.84615","6.45501093004e-07"
"-527.34615","6.46177631892e-07"
"-526.84615","6.46855632309e-07"
"-526.34615","6.47535098919e-07"
"-525.84615","6.48216036406e-07"
"-525.34615","6.48898449473e-07"
"-524.84615","6.49582342842e-07"
"-524.34615","6.50267721257e-07"
"-523.84615","6.50954589477e-07"
"-523.34615","6.51642952286e-07"
"-522.84615","6.52332814483e-07"
"-522.34615","6.5302418089e-07"
"-521.84615","6.53717056349e-07"
"-521.34615","6.5441144572e-07"
"-520.84615","6.55107353884e-07"
"-520.34615","6.55804785744e-07"
"-519.84615","6.56503746221e-07"
"-519.34615","6.57204240259e-07"
"-518.84615","6.57906272819e-07"
"-518.34615","6.58609848888e-07"
"-517.84615","6.59314973468e-07"
"-517.34615","6.60021651587e-07"
"-516.84615","6.6072988829e-07"
"-516.34615","6.61439688646e-07"
"-515.84615","6.62151057744e-07"
"-515.34615","6.62864000694e-07"
"-514.84615","6.63578522629e-07"
"-514.34615","6.64294628702e-07"
"-513.84615","6.65012324088e-07"
"-513.34615","6.65731613985e-07"
"-512.84615","6.66452503611e-07"
"-512.34615","6.67174998208e-07"
"-511.84615","6.67899103039e-07"
"-511.34615","6.68624823389e-07"
"-510.84615","6.69352164567e-07"
"-510.34615","6.70081131902e-07"
