"v / cm^-1","I_Norm / AU"
"-600.34615","3.93385879715e-06"
"-599.84615","3.93896429906e-06"
"-599.34615","3.94408075051e-06"
"-598.84615","3.94920818373e-06"
"-598.34615","3.95434663105e-06"
"-597.84615","3.95949612493e-06"
"-597.34615","3.96465669795e-06"
"-596.84615","3.96982838281e-06"
"-596.34615","3.97501121234e-06"
"-595.84615","3.98020521947e-06"
"-595.34615","3.98541043728e-06"
"-594.84615","3.99062689896e-06"
"-594.34615","3.99585463781e-06"
"-593.84615","4.00109368729e-06"
"-593.34615","4.00634408096e-06"
"-592.84615","4.0116058525e-06"
"-592.34615","4.01687903574e-06"
"-591.84615","4.02216366462e-06"
"-591.34615","4.02745977321e-06"
"-590.84615","4.0327673957e-06"
"-590.34615","4.03808656644e-06"
"-589.84615","4.04341731987e-06"
"-589.34615","4.04875969059e-06"
"-588.84615","4.0541137133e-06"
"-588.34615","4.05947942287e-06"
"-587.84615","4.06485685427e-06"
"-587.34615","4.0702460426e-06"
"-586.84615","4.07564702313e-06"
"-586.34615","4.08105983122e-06"
"-585.84615","4.08648450238e-06"
"-585.34615","4.09192107227e-06"
"-584.84615","4.09736957667e-06"
"-584.34615","4.1028300515e-06"
"-583.84615","4.10830253281e-06"
"-583.34615","4.11378705678e-06"
"-582.84615","4.11928365976e-06"
"-582.34615","4.12479237821e-06"
"-581.84615","4.13031324874e-06"
"-581.34615","4.13584630808e-06"
"-580.84615","4.14139159314e-06"
"-580.34615","4.14694914093e-06"
"-579.84615","4.15251898863e-06"
"-579.34615","4.15810117355e-06"
"-578.84615","4.16369573313e-06"
"-578.34615","4.16930270499e-06"
"-577.84615","4.17492212685e-06"
"-577.34615","4.18055403662e-06"
"-576.84615","4.18619847231e-06"
"-576.34615","4.19185547211e-06"
"-575.84615","4.19752507435e-06"
"-575.34615","4.20320731749e-06"
"-574.84615","4.20890224016e-06"
"-574.34615","4.21460988113e-06"
"-573.84615","4.22033027931e-06"
"-573.34615","4.22606347378e-06"
"-572.84615","4.23180950376e-06"
"-572.34615","4.23756840862e-06"
"-571.84615","4.24334022789e-06"
"-571.34615","4.24912500124e-06"
"-570.84615","4.25492276851e-06"
"-570.34615","4.26073356968e-06"
"-569.84615","4.2665574449e-06"
"-569.34615","4.27239443447e-06"
"-568.84615","4.27824457883e-06"
"-568.34615","4.2841079186e-06"
"-567.84615","4.28998449455e-06"
"-567.34615","4.29587434762e-06"
"-566.84615","4.30177751888e-06"
"-566.34615","4.3076940496e-06"
"-565.84615","4.31362398117e-06"
"-565.34615","4.31956735519e-06"
"-564.84615","4.32552421337e-06"
"-564.34615","4.33149459762e-06"
"-563.84615","4.33747855e-06"
"-563.34615","4.34347611274e-06"
"-562.84615","4.34948732824e-06"
"-562.34615","4.35551223906e-06"
"-561.84615","4.36155088792e-06"
"-561.34615","4.36760331773e-06"
"-560.84615","4.37366957154e-06"
"-560.34615","4.3797496926e-06"
"-559.84615","4.38584372431e-06"
"-559.34615","4.39195171024e-06"
"-558.84615","4.39807369415e-06"
"-558.34615","4.40420971997e-06"
"-557.84615","4.41035983178e-06"
"-557.34615","4.41652407386e-06"
"-556.84615","4.42270249065e-06"
"-556.34615","4.42889512679e-06"
"-555.84615","4.43510202707e-06"
"-555.34615","4.44132323647e-06"
"-554.84615","4.44755880015e-06"
"-554.34615","4.45380876344e-06"
"-553.84615","4.46007317187e-06"
"-553.34615","4.46635207113e-06"
"-552.84615","4.47264550711e-06"
"-552.34615","4.47895352587e-06"
"-551.84615","4.48527617367e-06"
"-551.34615","4.49161349693e-06"
"-550.84615","4.49796554229e-06"
"-550.34615","4.50433235654e-06"
"-549.84615","4.51071398668e-06"
"-549.34615","4.5171104799e-06"
"-548.84615","4.52352188356e-06"
"-548.34615","4.52994824525e-06"
"-547.84615","4.5363896127e-06"
"-547.34615","4.54284603388e-06"
"-546.84615","4.54931755691e-06"
"-546.34615","4.55580423014e-06"
"-545.84615","4.56230610209e-06"
"-545.34615","4.5688232215e-06"
"-544.84615","4.57535563729e-06"
"-544.34615","4.58190339858e-06"
"-543.84615","4.58846655469e-06"
"-543.34615","4.59504515514e-06"
"-542.84615","4.60163924966e-06"
"-542.34615","4.60824888816e-06"
"-541.84615","4.61487412078e-06"
"-541.34615","4.62151499784e-06"
"-540.84615","4.62817156989e-06"
"-540.34615","4.63484388766e-06"
"-539.84615","4.6415320021e-06"
"-539.34615","4.64823596437e-06"
"-538.84615","4.65495582584e-06"
"-538.34615","4.66169163807e-06"
"-537.84615","4.66844345287e-06"
"-537.34615","4.67521132221e-06"
"-536.84615","4.68199529833e-06"
"-536.34615","4.68879543363e-06"
"-535.84615","4.69561178078e-06"
"-535.34615","4.70244439261e-06"
"-534.84615","4.70929332221e-06"
"-534.34615","4.71615862287e-06"
"-533.84615","4.72304034811e-06"
"-533.34615","4.72993855165e-06"
"-532.84615","4.73685328746e-06"
"-532.34615","4.74378460971e-06"
"-531.84615","4.7507325728e-06"
"-531.34615","4.75769723136e-06"
"-530.84615","4.76467864024e-06"
"-530.34615","4.77167685453e-06"
"-529.84615","4.77869192953e-06"
"-529.34615","4.78572392079e-06"
"-528.84615","4.79277288407e-06"
"-528.34615","4.79983887537e-06"
"-527.84615","4.80692195093e-06"
"-527.34615","4.81402216722e-06"
"-526.84615","4.82113958093e-06"
"-526.34615","4.82827424902e-06"
"-525.84615","4.83542622866e-06"
"-525.34615","4.84259557727e-06"
"-524.84615","4.84978235251e-06"
"-524.34615","4.85698661226e-06"
"-523.84615","4.86420841469e-06"
"-523.34615","4.87144781816e-06"
"-522.84615","4.87870488132e-06"
"-522.34615","4.88597966304e-06"
"-521.84615","4.89327222244e-06"
"-521.34615","4.9005826189e-06"
"-520.84615","4.90791091204e-06"
"-520.34615","4.91525716173e-06"
"-519.84615","4.92262142811e-06"
"-519.34615","4.93000377155e-06"
"-518.84615","4.93740425269e-06"
"-518.34615","4.94482293242e-06"
"-517.84615","4.9522598719e-06"
"-517.34615","4.95971513253e-06"
"-516.84615","4.96718877598e-06"
"-516.34615","4.97468086419e-06"
"-515.84615","4.98219145935e-06"
"-515.34615","4.98972062392e-06"
"-514.84615","4.99726842063e-06"
"-514.34615","5.00483491247e-06"
"-513.84615","5.01242016269e-06"
"-513.34615","5.02002423484e-06"
"-512.84615","5.02764719271e-06"
"-512.34615","5.03528910038e-06"
"-511.84615","5.0429500222e-06"
"-511.34615","5.05063002279e-06"
"-510.84615","5.05832916706e-06"
"-510.34615","5.06604752018e-06"
"-509.84615","5.07378514762e-06"
"-509.34615","5.08154211512e-06"
"-508.84615","5.08931848869e-06"
"-508.34615","5.09711433466e-06"
"-507.84615","5.10492971961e-06"
"-507.34615","5.11276471042e-06"
"-506.84615","5.12061937427e-06"
"-506.34615","5.12849377861e-06"
"-505.84615","5.1363879912e-06"
"-505.34615","5.14430208008e-06"
"-504.84615","5.15223611359e-06"
"-504.34615","5.16019016037e-06"
"-503.84615","5.16816428935e-06"
"-503.34615","5.17615856976e-06"
"-502.84615","5.18417307113e-06"
"-502.34615","5.19220786332e-06"
"-501.84615","5.20026301644e-06"
"-501.34615","5.20833860096e-06"
"-500.84615","5.21643468762e-06"
"-500.34615","5.22455134749e-06"
"-499.84615","5.23268865194e-06"
"-499.34615","5.24084667265e-06"
"-498.84615","5.24902548163e-06"
"-498.34615","5.25722515119e-06"
"-497.84615","5.26544575396e-06"
"-497.34615","5.27368736289e-06"
"-496.84615","5.28195005125e-06"
"-496.34615","5.29023389264e-06"
"-495.84615","5.29853896097e-06"
"-495.34615","5.30686533048e-06"
"-494.84615","5.31521307575e-06"
"-494.34615","5.32358227168e-06"
"-493.84615","5.33197299349e-06"
"-493.34615","5.34038531675e-06"
"-492.84615","5.34881931736e-06"
"-492.34615","5.35727507154e-06"
"-491.84615","5.36575265588e-06"
"-491.34615","5.37425214727e-06"
"-490.84615","5.38277362298e-06"
"-490.34615","5.3913171606e-06"
"-489.84615","5.39988283807e-06"
"-489.34615","5.40847073368e-06"
"-488.84615","5.41708092607e-06"
"-488.34615","5.42571349423e-06"
"-487.84615","5.43436851749e-06"
"-487.34615","5.44304607556e-06"
"-486.84615","5.45174624848e-06"
"-486.34615","5.46046911667e-06"
"-485.84615","5.46921476089e-06"
"-485.34615","5.47798326229e-06"
"-484.84615","5.48677470235e-06"
"-484.34615","5.49558916295e-06"
"-483.84615","5.50442672632e-06"
"-483.34615","5.51328747505e-06"
