"v / cm^-1","I_Norm / AU"
"-600.34615","9.36327390708e-07"
"-599.84615","9.37175961036e-07"
"-599.34615","9.38026141524e-07"
"-598.84615","9.38877936762e-07"
"-598.34615","9.39731351359e-07"
"-597.84615","9.40586389938e-07"
"-597.34615","9.41443057141e-07"
"-596.84615","9.42301357628e-07"
"-596.34615","9.43161296073e-07"
"-595.84615","9.44022877172e-07"
"-595.34615","9.44886105635e-07"
"-594.84615","9.45750986191e-07"
"-594.34615","9.46617523586e-07"
"-593.84615","9.47485722585e-07"
"-593.34615","9.48355587968e-07"
"-592.84615","9.49227124536e-07"
"-592.34615","9.50100337106e-07"
"-591.84615","9.50975230514e-07"
"-591.34615","9.51851809614e-07"
"-590.84615","9.52730079277e-07"
"-590.34615","9.53610044395e-07"
"-589.84615","9.54491709875e-07"
"-589.34615","9.55375080645e-07"
"-588.84615","9.5626016165e-07"
"-588.34615","9.57146957854e-07"
"-587.84615","9.58035474242e-07"
"-587.34615","9.58925715813e-07"
"-586.84615","9.59817687589e-07"
"-586.34615","9.6071139461e-07"
"-585.84615","9.61606841933e-07"
"-585.34615","9.62504034638e-07"
"-584.84615","9.6340297782e-07"
"-584.34615","9.64303676597e-07"
"-583.84615","9.65206136103e-07"
"-583.34615","9.66110361494e-07"
"-582.84615","9.67016357945e-07"
"-582.34615","9.67924130651e-07"
"-581.84615","9.68833684825e-07"
"-581.34615","9.69745025701e-07"
"-580.84615","9.70658158535e-07"
"-580.34615","9.71573088599e-07"
"-579.84615","9.72489821188e-07"
"-579.34615","9.73408361617e-07"
"-578.84615","9.7432871522e-07"
"-578.34615","9.75250887353e-07"
"-577.84615","9.76174883391e-07"
"-577.34615","9.7710070873e-07"
"-576.84615","9.78028368788e-07"
"-576.34615","9.78957869002e-07"
"-575.84615","9.79889214831e-07"
"-575.34615","9.80822411756e-07"
"-574.84615","9.81757465275e-07"
"-574.34615","9.82694380913e-07"
"-573.84615","9.83633164212e-07"
"-573.34615","9.84573820736e-07"
"-572.84615","9.85516356072e-07"
"-572.34615","9.86460775828e-07"
"-571.84615","9.87407085633e-07"
"-571.34615","9.88355291139e-07"
"-570.84615","9.89305398018e-07"
"-570.34615","9.90257411967e-07"
"-569.84615","9.91211338701e-07"
"-569.34615","9.92167183961e-07"
"-568.84615","9.93124953509e-07"
"-568.34615","9.94084653129e-07"
"-567.84615","9.95046288627e-07"
"-567.34615","9.96009865834e-07"
"-566.84615","9.969753906e-07"
"-566.34615","9.97942868802e-07"
"-565.84615","9.98912306338e-07"
"-565.34615","9.99883709127e-07"
"-564.84615","1.00085708312e-06"
"-564.34615","1.00183243427e-06"
"-563.84615","1.00280976858e-06"
"-563.34615","1.00378909206e-06"
"-562.84615","1.00477041076e-06"
"-562.34615","1.00575373072e-06"
"-561.84615","1.00673905804e-06"
"-561.34615","1.00772639883e-06"
"-560.84615","1.00871575922e-06"
"-560.34615","1.00970714537e-06"
"-559.84615","1.01070056345e-06"
"-559.34615","1.01169601969e-06"
"-558.84615","1.0126935203e-06"
"-558.34615","1.01369307155e-06"
"-557.84615","1.01469467971e-06"
"-557.34615","1.01569835109e-06"
"-556.84615","1.01670409203e-06"
"-556.34615","1.01771190887e-06"
"-555.84615","1.018721808e-06"
"-555.34615","1.01973379582e-06"
"-554.84615","1.02074787877e-06"
"-554.34615","1.02176406331e-06"
"-553.84615","1.02278235591e-06"
"-553.34615","1.02380276308e-06"
"-552.84615","1.02482529137e-06"
"-552.34615","1.02584994733e-06"
"-551.84615","1.02687673755e-06"
"-551.34615","1.02790566865e-06"
"-550.84615","1.02893674726e-06"
"-550.34615","1.02996998005e-06"
"-549.84615","1.03100537372e-06"
"-549.34615","1.03204293498e-06"
"-548.84615","1.03308267059e-06"
"-548.34615","1.03412458732e-06"
"-547.84615","1.03516869197e-06"
"-547.34615","1.03621499137e-06"
"-546.84615","1.03726349238e-06"
"-546.34615","1.03831420189e-06"
"-545.84615","1.0393671268e-06"
"-545.34615","1.04042227406e-06"
"-544.84615","1.04147965064e-06"
"-544.34615","1.04253926354e-06"
"-543.84615","1.04360111977e-06"
"-543.34615","1.0446652264e-06"
"-542.84615","1.0457315905e-06"
"-542.34615","1.0468002192e-06"
"-541.84615","1.04787111962e-06"
"-541.34615","1.04894429894e-06"
"-540.84615","1.05001976437e-06"
"-540.34615","1.05109752312e-06"
"-539.84615","1.05217758245e-06"
"-539.34615","1.05325994966e-06"
"-538.84615","1.05434463206e-06"
"-538.34615","1.055431637e-06"
"-537.84615","1.05652097185e-06"
"-537.34615","1.05761264403e-06"
"-536.84615","1.05870666097e-06"
"-536.34615","1.05980303014e-06"
"-535.84615","1.06090175905e-06"
"-535.34615","1.06200285521e-06"
"-534.84615","1.0631063262e-06"
"-534.34615","1.0642121796e-06"
"-533.84615","1.06532042305e-06"
"-533.34615","1.06643106419e-06"
"-532.84615","1.06754411072e-06"
"-532.34615","1.06865957035e-06"
"-531.84615","1.06977745083e-06"
"-531.34615","1.07089775995e-06"
"-530.84615","1.07202050553e-06"
"-530.34615","1.07314569541e-06"
"-529.84615","1.07427333747e-06"
"-529.34615","1.07540343963e-06"
"-528.84615","1.07653600983e-06"
"-528.34615","1.07767105606e-06"
"-527.84615","1.07880858633e-06"
"-527.34615","1.07994860867e-06"
"-526.84615","1.08109113119e-06"
"-526.34615","1.08223616198e-06"
"-525.84615","1.08338370919e-06"
"-525.34615","1.08453378102e-06"
"-524.84615","1.08568638567e-06"
"-524.34615","1.0868415314e-06"
"-523.84615","1.0879992265e-06"
"-523.34615","1.08915947927e-06"
"-522.84615","1.09032229809e-06"
"-522.34615","1.09148769134e-06"
"-521.84615","1.09265566744e-06"
"-521.34615","1.09382623487e-06"
"-520.84615","1.09499940211e-06"
"-520.34615","1.09617517771e-06"
"-519.84615","1.09735357022e-06"
"-519.34615","1.09853458827e-06"
"-518.84615","1.09971824048e-06"
"-518.34615","1.10090453555e-06"
"-517.84615","1.10209348218e-06"
"-517.34615","1.10328508913e-06"
"-516.84615","1.1044793652e-06"
"-516.34615","1.1056763192e-06"
"-515.84615","1.10687596002e-06"
"-515.34615","1.10807829654e-06"
"-514.84615","1.10928333771e-06"
"-514.34615","1.11049109252e-06"
"-513.84615","1.11170156997e-06"
"-513.34615","1.11291477914e-06"
"-512.84615","1.11413072911e-06"
"-512.34615","1.11534942902e-06"
"-511.84615","1.11657088805e-06"
"-511.34615","1.1177951154e-06"
"-510.84615","1.11902212034e-06"
"-510.34615","1.12025191215e-06"
"-509.84615","1.12148450017e-06"
"-509.34615","1.12271989378e-06"
"-508.84615","1.12395810238e-06"
"-508.34615","1.12519913544e-06"
"-507.84615","1.12644300245e-06"
"-507.34615","1.12768971294e-06"
"-506.84615","1.1289392765e-06"
"-506.34615","1.13019170275e-06"
"-505.84615","1.13144700135e-06"
"-505.34615","1.132705182e-06"
"-504.84615","1.13396625444e-06"
"-504.34615","1.13523022848e-06"
"-503.84615","1.13649711394e-06"
"-503.34615","1.13776692069e-06"
"-502.84615","1.13903965865e-06"
"-502.34615","1.14031533778e-06"
"-501.84615","1.1415939681e-06"
"-501.34615","1.14287555964e-06"
"-500.84615","1.1441601225e-06"
"-500.34615","1.14544766682e-06"
"-499.84615","1.14673820277e-06"
"-499.34615","1.14803174059e-06"
"-498.84615","1.14932829054e-06"
"-498.34615","1.15062786295e-06"
"-497.84615","1.15193046817e-06"
"-497.34615","1.15323611662e-06"
"-496.84615","1.15454481874e-06"
"-496.34615","1.15585658504e-06"
"-495.84615","1.15717142606e-06"
"-495.34615","1.1584893524e-06"
"-494.84615","1.1598103747e-06"
"-494.34615","1.16113450364e-06"
"-493.84615","1.16246174997e-06"
"-493.34615","1.16379212445e-06"
"-492.84615","1.16512563794e-06"
"-492.34615","1.16646230129e-06"
"-491.84615","1.16780212545e-06"
"-491.34615","1.16914512139e-06"
"-490.84615","1.17049130014e-06"
"-490.34615","1.17184067276e-06"
"-489.84615","1.17319325039e-06"
"-489.34615","1.1745490442e-06"
"-488.84615","1.17590806541e-06"
"-488.34615","1.17727032531e-06"
"-487.84615","1.17863583521e-06"
"-487.34615","1.18000460649e-06"
"-486.84615","1.18137665058e-06"
"-486.34615","1.18275197896e-06"
"-485.84615","1.18413060317e-06"
"-485.34615","1.18551253478e-06"
"-484.84615","1.18689778543e-06"
"-484.34615","1.18828636682e-06"
"-483.84615","1.18967829067e-06"
"-483.34615","1.1910735688e-06"
"-482.84615","1.19247221304e-06"
"-482.34615","1.1938742353e-06"
"-481.84615","1.19527964753e-06"
"-481.34615","1.19668846175e-06"
"-480.84615","1.19810069002e-06"
"-480.34615","1.19951634446e-06"
"-479.84615","1.20093543726e-06"
"-479.34615","1.20235798063e-06"
"-478.84615","1.20378398687e-06"
"-478.34615","1.20521346832e-06"
"-477.84615","1.20664643739e-06"
"-477.34615","1.20808290653e-06"
"-476.84615","1.20952288825e-06"
"-476.34615","1.21096639513e-06"
"-475.84615","1.2124134398e-06"
"-475.34615","1.21386403495e-06"
"-474.84615","1.21531819332e-06"
"-474.34615","1.21677592772e-06"
"-473.84615","1.21823725101e-06"
"-473.34615","1.21970217613e-06"
"-472.84615","1.22117071604e-06"
"-472.34615","1.2226428838e-06"
"-471.84615","1.22411869252e-06"
"-471.34615","1.22559815536e-06"
"-470.84615","1.22708128554e-06"
"-470.34615","1.22856809635e-06"
"-469.84615","1.23005860115e-06"
"-469.34615","1.23155281335e-06"
"-468.84615","1.23305074642e-06"
"-468.34615","1.2345524139e-06"
"-467.84615","1.2360578294e-06"
"-467.34615","1.23756700657e-06"
"-466.84615","1.23907995915e-06"
"-466.34615","1.24059670094e-06"
"-465.84615","1.24211724578e-06"
"-465.34615","1.24364160761e-06"
"-464.84615","1.24516980041e-06"
"-464.34615","1.24670183824e-06"
"-463.84615","1.24823773522e-06"
"-463.34615","1.24977750553e-06"
"-462.84615","1.25132116344e-06"
"-462.34615","1.25286872326e-06"
"-461.84615","1.25442019939e-06"
"-461.34615","1.25597560628e-06"
"-460.84615","1.25753495845e-06"
