"Fit Parameters",""
"E_0 / eV","-10.06303713"
"V_0 / A^3 Per F.U.","49.75349656"
"B_0 / eV A^-3","0.410135996"
"B_0 / GPa","65.71102792034537"
"B'_0","4.41969888"

"V / A^3","E_Calc / eV","E_Fit / eV"
"44.76","-9.9380508","-9.938107054"
"45.47","-9.973897","-9.973787333"
"46.19","-10.003186","-10.00305527"
"46.92","-10.026235","-10.02620096"
"47.65","-10.04335","-10.04330619"
"48.39","-10.054811","-10.05497765"
"49.14","-10.061028","-10.06145056"
"49.9","-10.06259","-10.06294913"
"50.66","-10.059729","-10.05975845"
"51.43","-10.052363","-10.05212136"
"52.21","-10.040597","-10.04021996"
"53.0","-10.024673","-10.02422774"
"53.79","-10.004817","-10.0045808"
"54.59","-9.9812423","-9.981248932"
"55.41","-9.9541485","-9.954022181"
"56.22","-9.9237281","-9.924088599"
"57.05","-9.8901668","-9.890522729"
"57.89","-9.8536344","-9.853797598"
"58.73","-9.8142954","-9.814511402"
"59.58","-9.7723081","-9.7723471"
"60.44","-9.7278346","-9.727403993"
