"Fit Parameters",""
"E_0 / eV","-9.72644256437"
"V_0 / A^3 Per F.U.","49.7966511661"
"B_0 / eV A^-3","0.374064258257"
"B_0 / GPa","59.93169865131519"
"B'_0","5.02351902382"

"V / A^3","E_Calc / eV","E_Fit / eV"
"44.76","-9.6080651","-9.60772015755"
"45.47","-9.6419258","-9.6416950486"
"46.19","-9.6693815","-9.66945961747"
"46.92","-9.6908009","-9.69135409912"
"47.65","-9.7068254","-9.70751503785"
"48.39","-9.7181543","-9.71856744909"
"49.14","-9.7247958","-9.72477915363"
"49.9","-9.7267362","-9.72640261405"
"50.66","-9.724231","-9.72373757998"
"51.43","-9.7175636","-9.71704622564"
"52.21","-9.7069829","-9.70652779048"
"53.0","-9.6927463","-9.69237007523"
"53.79","-9.6750744","-9.67498944165"
"54.59","-9.6541835","-9.6543856353"
"55.41","-9.630278","-9.63039829192"
"56.22","-9.6035496","-9.6040945715"
"57.05","-9.574173","-9.57467947868"
"57.89","-9.5423187","-9.54258636786"
"58.73","-9.508144","-9.50835200213"
"59.58","-9.4717936","-9.47171231379"
"60.44","-9.4334153","-9.43276594848"
