"Fit Parameters",""
"E_0 / eV","-8.81658794546"
"V_0 / A^3 Per F.U.","53.5458095259"
"B_0 / eV A^-3","0.341034661806"
"B_0 / GPa","54.63977412931005"
"B'_0","3.99718504768"

"V / A^3","E_Calc / eV","E_Fit / eV"
"44.76","-8.4825935","-8.4822171988"
"45.47","-8.5421023","-8.54181222866"
"46.19","-8.5947448","-8.59482287314"
"46.92","-8.6408297","-8.6415138922"
"47.65","-8.6809354","-8.68163352073"
"48.39","-8.7157134","-8.71609592068"
"49.14","-8.7451337","-8.74512033658"
"49.9","-8.7691482","-8.76891752897"
"50.66","-8.787987","-8.78747883326"
"51.43","-8.8019076","-8.80133484053"
"52.21","-8.811151","-8.81066025818"
"53.0","-8.8159593","-8.81562289555"
"53.79","-8.8165492","-8.81639948884"
"54.59","-8.8131359","-8.81322534094"
"55.41","-8.8059203","-8.80613095523"
"56.22","-8.7950976","-8.79557650869"
"57.05","-8.7808549","-8.78136386715"
"57.89","-8.7633654","-8.76372483883"
"58.73","-8.742797","-8.74304096641"
"59.58","-8.7193106","-8.71922755347"
"60.44","-8.6930698","-8.69238675271"
