"Fit Parameters",""
"E_0 / eV","-9.50288957268"
"V_0 / A^3 Per F.U.","50.8564811123"
"B_0 / eV A^-3","0.381540649349"
"B_0 / GPa","61.12954850741471"
"B'_0","4.25360564469"

"V / A^3","E_Calc / eV","E_Fit / eV"
"44.76","-9.3275944","-9.32757641623"
"45.47","-9.370108","-9.36992282268"
"46.19","-9.4060504","-9.40590905497"
"46.92","-9.4357354","-9.43580979462"
"47.65","-9.4594489","-9.45960191807"
"48.39","-9.4775531","-9.47797315304"
"49.14","-9.4906755","-9.49114805223"
"49.9","-9.4991805","-9.49934136565"
"50.66","-9.5029719","-9.50274377445"
"51.43","-9.5020943","-9.50167967358"
"52.21","-9.496782","-9.49632487662"
"53.0","-9.4872844","-9.48684742174"
"53.79","-9.4738166","-9.47359843264"
"54.59","-9.4565897","-9.45662691872"
"55.41","-9.4358013","-9.43579680366"
"56.22","-9.4116427","-9.41206150972"
"57.05","-9.3842974","-9.38472505029"
"57.89","-9.3539351","-9.35418132293"
"58.73","-9.3207198","-9.32095564917"
"59.58","-9.284809","-9.28480417557"
"60.44","-9.2463632","-9.24582541341"
