"Fit Parameters",""
"E_0 / eV","-8.8711822074"
"V_0 / A^3 Per F.U.","53.6178383067"
"B_0 / eV A^-3","0.345507559986"
"B_0 / GPa","55.35641139123632"
"B'_0","3.9920618792"

"V / A^3","E_Calc / eV","E_Fit / eV"
"44.76","-8.5268621","-8.52661030287"
"45.47","-8.5878985","-8.58761280844"
"46.19","-8.6419467","-8.64191925123"
"46.92","-8.6893093","-8.68979850303"
"47.65","-8.7304023","-8.73098888834"
"48.39","-8.7659389","-8.76642525244"
"49.14","-8.7961993","-8.79633030249"
"49.9","-8.8210578","-8.82091815042"
"50.66","-8.840637","-8.8401748271"
"51.43","-8.8552034","-8.85464489245"
"52.21","-8.8650032","-8.86450587632"
"53.0","-8.8702837","-8.86992831636"
"53.79","-8.8712663","-8.87108721785"
"54.59","-8.8681698","-8.86822658996"
"55.41","-8.861199","-8.86138186264"
"56.22","-8.8505528","-8.85100755158"
"57.05","-8.8364223","-8.83691554706"
"57.89","-8.8189838","-8.81933709589"
"58.73","-8.7984076","-8.79865603007"
"59.58","-8.7748581","-8.77479053376"
"60.44","-8.7485024","-8.74784449943"
