"Fit Parameters",""
"E_0 / eV","-13.0119638301"
"V_0 / A^3 Per F.U.","52.9412072029"
"B_0 / eV A^-3","0.357836072309"
"B_0 / GPa","57.331656737594486"
"B'_0","4.01463936047"

"V / A^3","E_Calc / eV","E_Fit / eV"
"44.76","-12.710391","-12.7100543004"
"45.47","-12.767376","-12.7670780642"
"46.19","-12.81742","-12.8174413394"
"46.92","-12.860828","-12.8614122536"
"47.65","-12.898061","-12.8987800799"
"48.39","-12.929929","-12.9304247314"
"49.14","-12.956502","-12.9565680453"
"49.9","-12.977639","-12.977423198"
"50.66","-12.993548","-12.9930228595"
"51.43","-13.004465","-13.0038610406"
"52.21","-13.010645","-13.0101143008"
"53.0","-13.012341","-13.01195217"
"53.79","-13.009765","-13.0095927411"
"54.59","-13.003142","-13.0032332566"
"55.41","-12.992672","-12.9928655697"
"56.22","-12.978557","-12.979070961"
"57.05","-12.960988","-12.9615325318"
"57.89","-12.940144","-12.9405230909"
"58.73","-12.916198","-12.9164653198"
"59.58","-12.889315","-12.8892352702"
"60.44","-12.859661","-12.8589358756"
