"Fit Parameters",""
"E_0 / eV","34.0377131527"
"V_0 / A^3 Per F.U.","52.2618970277"
"B_0 / eV A^-3","0.361060070932"
"B_0 / GPa","57.84819823991877"
"B'_0","4.00016578065"

"V / A^3","E_Calc / eV","E_Fit / eV"
"44.76","34.290971","34.2911280022"
"45.47","34.23951","34.2397839898"
"46.19","34.194745","34.1948527954"
"46.92","34.156369","34.1560796047"
"47.65","34.124105","34.1236224775"
"48.39","34.0973","34.0966861071"
"49.14","34.075378","34.0750595167"
"49.9","34.058483","34.0585399061"
"50.66","34.046602","34.0470518228"
"51.43","34.039602","34.0401687061"
"52.21","34.03719","34.0377224717"
"53.0","34.039124","34.0395516813"
"53.79","34.045197","34.0454028276"
"54.59","34.055195","34.0551331741"
"55.41","34.068921","34.0687967611"
"56.22","34.086184","34.0857008076"
"57.05","34.106799","34.106286057"
"57.89","34.130592","34.1302461716"
"58.73","34.157397","34.1571309924"
"59.58","34.187054","34.1871052909"
"60.44","34.219402","34.2200708364"
