"Fit Parameters",""
"E_0 / eV","-8.81050544054"
"V_0 / A^3 Per F.U.","64.9794899383"
"B_0 / eV A^-3","0.310595644495"
"B_0 / GPa","49.76290612479821"
"B'_0","4.76474723376"

"V / A^3","E_Calc / eV","E_Fit / eV"
"57.83","-8.6571278","-8.65673124025"
"58.75","-8.6973622","-8.69742498389"
"59.68","-8.7309192","-8.73120634214"
"60.62","-8.7581423","-8.75848724532"
"61.56","-8.779315","-8.7794603027"
"62.52","-8.7948412","-8.794925418"
"63.49","-8.8049802","-8.80496020165"
"64.46","-8.8100128","-8.8098504208"
"65.45","-8.8102106","-8.80998362633"
"66.45","-8.8058307","-8.80555383905"
"67.45","-8.7971162","-8.79691956526"
"68.47","-8.784307","-8.78414079971"
"69.5","-8.7676273","-8.76750273536"
"70.53","-8.7472887","-8.74742098233"
"71.58","-8.7234959","-8.7236946685"
"72.64","-8.6964409","-8.69668071365"
"73.71","-8.6663137","-8.6665455561"
"74.79","-8.6332902","-8.63344454413"
"75.88","-8.5975389","-8.59752270382"
"76.97","-8.5592178","-8.55927651259"
"78.08","-8.5184833","-8.5181294984"
