"Fit Parameters",""
"E_0 / eV","-8.07059027694"
"V_0 / A^3 Per F.U.","68.7372511332"
"B_0 / eV A^-3","0.224713166933"
"B_0 / GPa","36.003016878341974"
"B'_0","6.2802128327"

"V / A^3","E_Calc / eV","E_Fit / eV"
"57.83","-7.7689417","-7.76676972901"
"58.75","-7.8262123","-7.82659798601"
"59.68","-7.8766237","-7.87824943899"
"60.62","-7.9204997","-7.92241226797"
"61.56","-7.9581154","-7.95935499568"
"62.52","-7.9898629","-7.99042666321"
"63.49","-8.0159958","-8.01571487785"
"64.46","-8.0367797","-8.03551324053"
"65.45","-8.0524958","-8.05065450394"
"66.45","-8.0633911","-8.06129773645"
"67.45","-8.0697216","-8.06775371715"
"68.47","-8.0717488","-8.07047241955"
"69.5","-8.0697549","-8.06966433306"
"70.53","-8.0641213","-8.06565220174"
"71.58","-8.0554674","-8.05860122842"
"72.64","-8.0449245","-8.04875919136"
"73.71","-8.0340189","-8.03633035714"
"74.79","-8.0228761","-8.02150108303"
"75.88","-8.0084085","-8.00444144394"
"76.97","-7.9879734","-7.98548875312"
"78.08","-7.9621585","-7.96443583186"
