"Fit Parameters",""
"E_0 / eV","-7.54187351974"
"V_0 / A^3 Per F.U.","70.1975059214"
"B_0 / eV A^-3","0.24858919456"
"B_0 / GPa","39.82837805933115"
"B'_0","4.35472522898"

"V / A^3","E_Calc / eV","E_Fit / eV"
"57.83","-7.1542579","-7.15388533179"
"58.75","-7.2193452","-7.21938867688"
"59.68","-7.2774146","-7.27769808793"
"60.62","-7.3288124","-7.32920869728"
"61.56","-7.3738269","-7.37385116535"
"62.52","-7.4128583","-7.41291908672"
"63.49","-7.4461711","-7.44622821121"
"64.46","-7.4740484","-7.47382853176"
"65.45","-7.4967647","-7.49657344247"
"66.45","-7.5145803","-7.51441951078"
"67.45","-7.5277405","-7.52751195409"
"68.47","-7.5364881","-7.53634791743"
"69.5","-7.5410504","-7.54099655428"
"70.53","-7.5416421","-7.54167941381"
"71.58","-7.5384704","-7.53860465767"
"72.64","-7.5317297","-7.5319318073"
"73.71","-7.5216136","-7.52183466862"
"74.79","-7.5083011","-7.50847648503"
"75.88","-7.4919639","-7.49201060378"
"76.97","-7.4727629","-7.47276981958"
"78.08","-7.4508573","-7.45053517626"
