"Fit Parameters",""
"E_0 / eV","-8.27696875462"
"V_0 / A^3 Per F.U.","66.3861481847"
"B_0 / eV A^-3","0.287686480377"
"B_0 / GPa","46.09245354889294"
"B'_0","4.64322438883"

"V / A^3","E_Calc / eV","E_Fit / eV"
"57.83","-8.0700534","-8.0696686688"
"58.75","-8.1169073","-8.11696377491"
"59.68","-8.1570574","-8.15734024117"
"60.62","-8.1908454","-8.19120111391"
"61.56","-8.2185549","-8.21866295446"
"62.52","-8.2405817","-8.24065745153"
"63.49","-8.2571856","-8.25718744988"
"64.46","-8.2686457","-8.26846908905"
"65.45","-8.2752317","-8.27501828269"
"66.45","-8.2771998","-8.27695993655"
"67.45","-8.274791","-8.27458845425"
"68.47","-8.2682438","-8.26808764641"
"69.5","-8.2577812","-8.25767860732"
"70.53","-8.2436138","-8.24371756853"
"71.58","-8.2259449","-8.22612240673"
"72.64","-8.2049649","-8.20519034381"
"73.71","-8.1808632","-8.18108836444"
"74.79","-8.1538149","-8.15397261537"
"75.88","-8.1239878","-8.12398913615"
"76.97","-8.0915389","-8.09158247151"
"78.08","-8.0566239","-8.05628462252"
