"Fit Parameters",""
"E_0 / eV","-14.3425109147"
"V_0 / A^3 Per F.U.","69.3506323036"
"B_0 / eV A^-3","0.259045553573"
"B_0 / GPa","41.50367139068849"
"B'_0","4.35491778162"

"V / A^3","E_Calc / eV","E_Fit / eV"
"57.83","-13.995957","-13.9955782274"
"58.75","-14.057462","-14.0575063172"
"59.68","-14.112008","-14.1122929573"
"60.62","-14.159937","-14.1603287369"
"61.56","-14.20153","-14.2015757713"
"62.52","-14.237186","-14.2372514571"
"63.49","-14.267156","-14.267204323"
"64.46","-14.291726","-14.2915144293"
"65.45","-14.31116","-14.3109640572"
"66.45","-14.325722","-14.3255409186"
"67.45","-14.335646","-14.3354191902"
"68.47","-14.341177","-14.3410290225"
"69.5","-14.342537","-14.3424694057"
"70.53","-14.33994","-14.3399899595"
"71.58","-14.333591","-14.3337351938"
"72.64","-14.323684","-14.3238934166"
"73.71","-14.310411","-14.3106364285"
"74.79","-14.293949","-14.2941255891"
"75.88","-14.274472","-14.2745124755"
"76.97","-14.252141","-14.2521566555"
"78.08","-14.227113","-14.2267804678"
