"Fit Parameters",""
"E_0 / eV","55.9433573077"
"V_0 / A^3 Per F.U.","67.9121407628"
"B_0 / eV A^-3","0.26542894024"
"B_0 / GPa","42.52640263981688"
"B'_0","4.44483604644"

"V / A^3","E_Calc / eV","E_Fit / eV"
"57.83","56.211543","56.2118961535"
"58.75","56.158508","56.1584625561"
"59.68","56.112116","56.1118527607"
"60.62","56.072037","56.0716868538"
"61.56","56.038","56.0379354621"
"62.52","56.009616","56.0095509166"
"63.49","55.986641","55.9866131974"
"64.46","55.968802","55.9689850466"
"65.45","55.955843","55.9560316282"
"66.45","55.947512","55.9477042236"
"67.45","55.943581","55.9437798878"
"68.47","55.943816","55.9439565224"
"69.5","55.948004","55.9480829732"
"70.53","55.955941","55.9558679182"
"71.58","55.967428","55.967278082"
"72.64","55.982281","55.9820804489"
"73.71","56.000318","56.0001110117"
"74.79","56.021367","56.0212159432"
"75.88","56.045265","56.0452509393"
"76.97","56.071857","56.0718256462"
"78.08","56.100994","56.1013018285"
