"Fit Parameters",""
"E_0 / eV","-8.20781001366"
"V_0 / A^3 Per F.U.","37.2607389975"
"B_0 / eV A^-3","0.53906636493"
"B_0 / GPa","86.36794941752521"
"B'_0","4.82371841867"

"V / A^3","E_Calc / eV","E_Fit / eV"
"33.93","-8.1115081","-8.11116991681"
"34.46","-8.1417977","-8.14158632696"
"35.01","-8.1660105","-8.16637963544"
"35.56","-8.1844415","-8.18487705279"
"36.11","-8.197361","-8.19762507941"
"36.68","-8.2050766","-8.20529456616"
"37.24","-8.2078104","-8.20780689903"
"37.82","-8.2058102","-8.20561178019"
"38.39","-8.1993152","-8.19910130249"
"38.98","-8.1885658","-8.18820284365"
"39.57","-8.1737598","-8.1734288153"
"40.17","-8.1551488","-8.15476449955"
"40.77","-8.1328996","-8.13273609358"
"41.38","-8.1072137","-8.10717869872"
"41.99","-8.0783286","-8.07869609702"
"42.61","-8.0464181","-8.04699521101"
"43.24","-8.0120402","-8.01217426933"
"43.87","-7.9746283","-7.97493805752"
"44.51","-7.934629","-7.93483853596"
"45.16","-7.8922057","-7.89195794371"
"45.81","-7.8474759","-7.84708107536"
