"Fit Parameters",""
"E_0 / eV","-7.38809244685"
"V_0 / A^3 Per F.U.","38.95762377"
"B_0 / eV A^-3","0.486922182812"
"B_0 / GPa","78.01353078454213"
"B'_0","4.64456163206"

"V / A^3","E_Calc / eV","E_Fit / eV"
"33.93","-7.1818924","-7.18155845327"
"34.46","-7.2281873","-7.22783647931"
"35.01","-7.2679877","-7.26844417716"
"35.56","-7.3015947","-7.30213615892"
"36.11","-7.3292872","-7.32949505722"
"36.68","-7.3513648","-7.35172706061"
"37.24","-7.3680715","-7.36800578632"
"37.82","-7.3796598","-7.37953763679"
"38.39","-7.38638","-7.38602235023"
"38.98","-7.3884891","-7.38808932119"
"39.57","-7.3862051","-7.3858164441"
"40.17","-7.3797799","-7.37941807099"
"40.77","-7.3694115","-7.36923224795"
"41.38","-7.3553193","-7.35530738191"
"41.99","-7.3377446","-7.33807162091"
"42.61","-7.3168946","-7.31743096284"
"43.24","-7.2932357","-7.29348909779"
"43.87","-7.2664269","-7.26679188779"
"44.51","-7.2368348","-7.23707195226"
"45.16","-7.2046354","-7.2044169526"
"45.81","-7.1699636","-7.16946679985"
