"Fit Parameters",""
"E_0 / eV","-6.85506610086"
"V_0 / A^3 Per F.U.","40.3458998826"
"B_0 / eV A^-3","0.42986683425"
"B_0 / GPa","68.87225657567552"
"B'_0","4.34611491056"

"V / A^3","E_Calc / eV","E_Fit / eV"
"33.93","-6.5533638","-6.55326429717"
"34.46","-6.6089087","-6.60844495988"
"35.01","-6.6580062","-6.65835825107"
"35.56","-6.7009584","-6.70138624533"
"36.11","-6.7380445","-6.7380795974"
"36.68","-6.7695634","-6.76995553255"
"37.24","-6.795752","-6.79565603921"
"37.82","-6.8168541","-6.81687062138"
"38.39","-6.8331106","-6.83278004379"
"38.98","-6.844767","-6.8444935991"
"39.57","-6.8520263","-6.85174561437"
"40.17","-6.8551278","-6.85489998157"
"40.77","-6.8542539","-6.85412558731"
"41.38","-6.8496075","-6.84961932283"
"41.99","-6.8414169","-6.84164807232"
"42.61","-6.829873","-6.83026410318"
"43.24","-6.8154291","-6.81556273188"
"43.87","-6.7977282","-6.79793968754"
"44.51","-6.7771248","-6.77726907652"
"45.16","-6.7537827","-6.75363285957"
"45.81","-6.7278285","-6.72753117601"
