"Fit Parameters",""
"E_0 / eV","-7.58151635652"
"V_0 / A^3 Per F.U.","38.433832911"
"B_0 / eV A^-3","0.48806734898"
"B_0 / GPa","78.19700662370958"
"B'_0","4.61163472007"

"V / A^3","E_Calc / eV","E_Fit / eV"
"33.93","-7.4180912","-7.41785002186"
"34.46","-7.4582464","-7.45793227645"
"35.01","-7.4922128","-7.49257100914"
"35.56","-7.5202889","-7.52072018223"
"36.11","-7.5427501","-7.5429234732"
"36.68","-7.5598926","-7.5601837339"
"37.24","-7.5719487","-7.57191275358"
"37.82","-7.5791594","-7.57905053557"
"38.39","-7.581762","-7.58150413109"
"38.98","-7.5799984","-7.57967151412"
"39.57","-7.5740677","-7.5737520454"
"40.17","-7.5642076","-7.56388161338"
"40.77","-7.5505955","-7.550440991"
"41.38","-7.5334317","-7.53341017132"
"41.99","-7.5129425","-7.51325532778"
"42.61","-7.4893147","-7.48982253448"
"43.24","-7.4630681","-7.46320832397"
"43.87","-7.4337186","-7.43399051663"
"44.51","-7.4016704","-7.4018519333"
"45.16","-7.367084","-7.3668743332"
"45.81","-7.330081","-7.32972487841"
