"Fit Parameters",""
"E_0 / eV","-6.89631567241"
"V_0 / A^3 Per F.U.","40.2725537071"
"B_0 / eV A^-3","0.434398101982"
"B_0 / GPa","69.59824567040499"
"B'_0","4.37029034919"

"V / A^3","E_Calc / eV","E_Fit / eV"
"33.93","-6.5984101","-6.59829893388"
"34.46","-6.6537863","-6.65332640891"
"35.01","-6.7026749","-6.70303393398"
"35.56","-6.7453799","-6.74581494049"
"36.11","-6.7821811","-6.78222578203"
"36.68","-6.8133848","-6.81377675894"
"37.24","-6.8392263","-6.83913073466"
"37.82","-6.859954","-6.85996219204"
"38.39","-6.8758104","-6.8754747805"
"38.98","-6.8870432","-6.88675978177"
"39.57","-6.8938562","-6.89356817405"
"40.17","-6.8964956","-6.89625869079"
"40.77","-6.8951401","-6.89501004196"
"41.38","-6.8899956","-6.89001311402"
"41.99","-6.8812964","-6.88154451623"
"42.61","-6.8692309","-6.86964988535"
"43.24","-6.8543027","-6.85442579961"
"43.87","-6.836073","-6.83627751533"
"44.51","-6.8149322","-6.81507190855"
"45.16","-6.7910468","-6.79089190751"
"45.81","-6.7645422","-6.76424689941"
