"Fit Parameters",""
"E_0 / eV","-19.7818963567"
"V_0 / A^3 Per F.U.","40.2332784498"
"B_0 / eV A^-3","0.428243705577"
"B_0 / GPa","68.61220270430107"
"B'_0","4.26106418203"

"V / A^3","E_Calc / eV","E_Fit / eV"
"33.93","-19.493923","-19.4939823"
"34.46","-19.547682","-19.5472471114"
"35.01","-19.595154","-19.5953831155"
"35.56","-19.636582","-19.6368224588"
"36.11","-19.672117","-19.6720925326"
"36.68","-19.702334","-19.7026461117"
"37.24","-19.727259","-19.7271796753"
"37.82","-19.747245","-19.7473059245"
"38.39","-19.762489","-19.762249484"
"38.98","-19.773265","-19.7730570715"
"39.57","-19.77959","-19.7794855209"
"40.17","-19.782015","-19.7818749876"
"40.77","-19.78046","-19.7803983775"
"41.38","-19.775152","-19.7752328868"
"41.99","-19.766491","-19.7666490761"
"42.61","-19.754352","-19.754682652"
"43.24","-19.739602","-19.7394239041"
"43.87","-19.721207","-19.7212720321"
"44.51","-19.69994","-19.7000878528"
"45.16","-19.676039","-19.6759493973"
"45.81","-19.649485","-19.6493605275"
