"Fit Parameters",""
"E_0 / eV","-2.65344469075"
"V_0 / A^3 Per F.U.","39.5759810451"
"B_0 / eV A^-3","0.442562761616"
"B_0 / GPa","70.9063682990023"
"B'_0","4.2584929276"

"V / A^3","E_Calc / eV","E_Fit / eV"
"33.93","-2.4181365","-2.41813364137"
"34.46","-2.466097","-2.46570727329"
"35.01","-2.5080092","-2.50820114825"
"35.56","-2.5440512","-2.54424557585"
"36.11","-2.5742503","-2.57434823991"
"36.68","-2.5994355","-2.59976750116"
"37.24","-2.6194399","-2.61945863739"
"37.82","-2.6346859","-2.63476375067"
"38.39","-2.6453324","-2.64514688732"
"38.98","-2.6516795","-2.65140501069"
"39.57","-2.6535542","-2.65344449068"
"40.17","-2.6517875","-2.65152246477"
"40.77","-2.6460653","-2.64587576505"
"41.38","-2.6366347","-2.63660456984"
"41.99","-2.6240527","-2.62403982951"
"42.61","-2.6079132","-2.60814543148"
"43.24","-2.5888504","-2.58900826043"
"43.87","-2.5667168","-2.56708325426"
"44.51","-2.5418294","-2.54216581946"
"45.16","-2.5144855","-2.51433105622"
"45.81","-2.4845263","-2.4841347924"
