"Fit Parameters",""
"E_0 / eV","-6.4761696359"
"V_0 / A^3 Per F.U.","54.0596633995"
"B_0 / eV A^-3","0.344429711759"
"B_0 / GPa","55.18372107478262"
"B'_0","4.95736227048"

"V / A^3","E_Calc / eV","E_Fit / eV"
"48.71","-6.3639335","-6.36343142462"
"49.49","-6.3964155","-6.39658701384"
"50.27","-6.4228625","-6.42317678202"
"51.06","-6.4436703","-6.44401264968"
"51.86","-6.4591441","-6.45941616818"
"52.66","-6.469564","-6.46959283728"
"53.48","-6.4751685","-6.47507600411"
"54.3","-6.4762093","-6.47598723974"
"55.13","-6.472942","-6.47265879531"
"55.97","-6.4655921","-6.46531233128"
"56.82","-6.4544066","-6.45415584724"
"57.67","-6.439613","-6.4395751904"
"58.54","-6.4214328","-6.4214079373"
"59.41","-6.4000553","-6.40023740826"
"60.3","-6.3756799","-6.37573594264"
"61.19","-6.3484574","-6.34860000763"
"62.09","-6.3185621","-6.31870489341"
"62.99","-6.2861509","-6.28654668749"
"63.91","-6.2513554","-6.25152831223"
"64.84","-6.2143139","-6.21410647929"
"65.77","-6.1751389","-6.17481804802"
