"Fit Parameters",""
"E_0 / eV","-5.69346944713"
"V_0 / A^3 Per F.U.","55.9635453499"
"B_0 / eV A^-3","0.302863173817"
"B_0 / GPa","48.52402779768032"
"B'_0","5.07618007903"

"V / A^3","E_Calc / eV","E_Fit / eV"
"48.71","-5.5034642","-5.50293282553"
"49.49","-5.5466269","-5.54684184633"
"50.27","-5.5834807","-5.5837956494"
"51.06","-5.61444","-5.614779002"
"51.86","-5.6398503","-5.64014303877"
"52.66","-5.6600205","-5.66000093488"
"53.48","-5.6752233","-5.67515252385"
"54.3","-5.685733","-5.68550545739"
"55.13","-5.6918245","-5.69153114889"
"55.97","-5.6937497","-5.69346933442"
"56.82","-5.6917708","-5.69154452868"
"57.67","-5.6861325","-5.6860515258"
"58.54","-5.6770697","-5.67705533277"
"59.41","-5.6647895","-5.66494061372"
"60.3","-5.649496","-5.649599202"
"61.19","-5.6313575","-5.63153183591"
"62.09","-5.610553","-5.61072639175"
"62.99","-5.5872462","-5.58758739474"
"63.91","-5.5615782","-5.56172566186"
"64.84","-5.5336864","-5.53350418045"
"65.77","-5.5036934","-5.50336787088"
