"Fit Parameters",""
"E_0 / eV","-5.18103947006"
"V_0 / A^3 Per F.U.","58.9842470709"
"B_0 / eV A^-3","0.268836352648"
"B_0 / GPa","43.07233026885195"
"B'_0","4.44342064996"

"V / A^3","E_Calc / eV","E_Fit / eV"
"48.71","-4.8363654","-4.83581731226"
"49.49","-4.8950112","-4.89526422602"
"50.27","-4.9472056","-4.94749763454"
"51.06","-4.993333","-4.99365040831"
"51.86","-5.0337063","-5.03402792004"
"52.66","-5.0686088","-5.06852322266"
"53.48","-5.0982877","-5.09826825072"
"54.3","-5.1229968","-5.12278611017"
"55.13","-5.1429923","-5.1427046407"
"55.97","-5.1585067","-5.15824339013"
"56.82","-5.1697912","-5.16961018817"
"57.67","-5.1770789","-5.17693823762"
"58.54","-5.1805926","-5.18058349846"
"59.41","-5.1805353","-5.18063173504"
"60.3","-5.1771055","-5.17724838544"
"61.19","-5.1704678","-5.17066132259"
"62.09","-5.1608015","-5.16099300753"
"62.99","-5.1482662","-5.14853090276"
"63.91","-5.1330057","-5.13312337737"
"64.84","-5.115159","-5.11501377684"
"65.77","-5.094848","-5.09454795263"
