"Fit Parameters",""
"E_0 / eV","-5.90362612314"
"V_0 / A^3 Per F.U.","55.8164598233"
"B_0 / eV A^-3","0.311318953925"
"B_0 / GPa","49.878793066235495"
"B'_0","4.74376494792"

"V / A^3","E_Calc / eV","E_Fit / eV"
"48.71","-5.7198073","-5.71930766364"
"49.49","-5.7620057","-5.76218578333"
"50.27","-5.7979912","-5.79828650792"
"51.06","-5.8282065","-5.82853772642"
"51.86","-5.8529586","-5.8532527853"
"52.66","-5.8725254","-5.87251837731"
"53.48","-5.8871486","-5.8870899154"
"54.3","-5.8970773","-5.89686337419"
"55.13","-5.9025629","-5.9022803797"
"55.97","-5.9038339","-5.9035607236"
"56.82","-5.9011373","-5.90091139662"
"57.67","-5.8947018","-5.89462171053"
"58.54","-5.8847459","-5.88472468821"
"59.41","-5.8714677","-5.87161437177"
"60.3","-5.8550613","-5.85514983439"
"61.19","-5.8356868","-5.83584870717"
"62.09","-5.8135189","-5.81367981991"
"62.99","-5.7887129","-5.78905893577"
"63.91","-5.7614077","-5.7615590751"
"64.84","-5.7317378","-5.73155503873"
"65.77","-5.6998211","-5.69950978501"
