"Fit Parameters",""
"E_0 / eV","-5.22525489521"
"V_0 / A^3 Per F.U.","58.8984464143"
"B_0 / eV A^-3","0.271966119779"
"B_0 / GPa","43.57377422240662"
"B'_0","4.46104671147"

"V / A^3","E_Calc / eV","E_Fit / eV"
"48.71","-4.8824311","-4.88186993087"
"49.49","-4.9411604","-4.94142165355"
"50.27","-4.9933996","-4.99370063383"
"51.06","-5.0395224","-5.03984601446"
"51.86","-5.0798438","-5.08016735214"
"52.66","-5.1146497","-5.11456306487"
"53.48","-5.1441902","-5.14416612518"
"54.3","-5.1687222","-5.16850629027"
"55.13","-5.1885051","-5.18821280866"
"55.97","-5.2037753","-5.20350791245"
"56.82","-5.2147862","-5.21460190801"
"57.67","-5.2217732","-5.22163389149"
"58.54","-5.224963","-5.22495493651"
"59.41","-5.2245599","-5.22466013948"
"60.3","-5.2207644","-5.2209088164"
"61.19","-5.2137428","-5.21393870107"
"62.09","-5.2036763","-5.20386965861"
"62.99","-5.1907259","-5.19099512416"
"63.91","-5.1750365","-5.17515551124"
"64.84","-5.1567483","-5.15659980808"
"65.77","-5.1359838","-5.13567981867"
