"Fit Parameters",""
"E_0 / eV","-20.7026996521"
"V_0 / A^3 Per F.U.","58.4086763724"
"B_0 / eV A^-3","0.269314916848"
"B_0 / GPa","43.14900470322147"
"B'_0","4.45041934718"

"V / A^3","E_Calc / eV","E_Fit / eV"
"48.71","-20.397649","-20.3972629681"
"49.49","-20.452097","-20.4522986562"
"50.27","-20.500237","-20.5004080643"
"51.06","-20.54245","-20.5426534594"
"51.86","-20.579053","-20.5793286891"
"52.66","-20.610461","-20.6103577748"
"53.48","-20.636769","-20.6367757599"
"54.3","-20.658268","-20.6581774335"
"55.13","-20.675378","-20.6751398708"
"55.97","-20.688107","-20.6878742114"
"56.82","-20.696712","-20.6965803012"
"57.67","-20.701477","-20.7014122036"
"58.54","-20.702689","-20.7026600546"
"59.41","-20.700303","-20.7004581642"
"60.3","-20.694869","-20.6949138575"
"61.19","-20.686199","-20.686297653"
"62.09","-20.674537","-20.6747014254"
"62.99","-20.66025","-20.660426906"
"63.91","-20.643164","-20.6432772673"
"64.84","-20.623653","-20.6235118924"
"65.77","-20.601683","-20.6014883874"
