"Fit Parameters",""
"E_0 / eV","19.6487935186"
"V_0 / A^3 Per F.U.","56.9256331917"
"B_0 / eV A^-3","0.28703319785"
"B_0 / GPa","45.98778615371124"
"B'_0","4.53359617549"

"V / A^3","E_Calc / eV","E_Fit / eV"
"48.71","19.877414","19.8778537144"
"49.49","19.830873","19.8306601749"
"50.27","19.790313","19.7901274625"
"51.06","19.755528","19.7552993822"
"51.86","19.726209","19.7258861177"
"52.66","19.701829","19.7018815163"
"53.48","19.68244","19.6824304325"
"54.3","19.667723","19.6677723906"
"55.13","19.65713","19.6574209182"
"55.97","19.650843","19.6511691955"
"56.82","19.648607","19.6488217468"
"57.67","19.650094","19.6501574412"
"58.54","19.654949","19.65503559"
"59.41","19.663416","19.6631852403"
"60.3","19.674652","19.6746401002"
"61.19","19.689115","19.6890009706"
"62.09","19.706496","19.7062473779"
"62.99","19.726263","19.7260212863"
"63.91","19.748824","19.7486456005"
"64.84","19.773614","19.7738028718"
"65.77","19.800811","19.8010834695"
