"v / cm^-1","v / THz","I_IR,Norm / AU"
"-50.0","-1.49896226842","4.35227594467e-05"
"-49.0","-1.46898302305","4.42642304876e-05"
"-48.0","-1.43900377768","4.50257937895e-05"
"-47.0","-1.40902453232","4.58082202917e-05"
"-46.0","-1.37904528695","4.66123206033e-05"
"-45.0","-1.34906604158","4.74389476562e-05"
"-44.0","-1.31908679621","4.82889995845e-05"
"-43.0","-1.28910755084","4.91634228532e-05"
"-42.0","-1.25912830547","5.00632156641e-05"
"-41.0","-1.22914906011","5.09894316689e-05"
"-40.0","-1.19916981474","5.19431840258e-05"
"-39.0","-1.16919056937","5.29256498376e-05"
"-38.0","-1.139211324","5.39380750188e-05"
"-37.0","-1.10923207863","5.49817796439e-05"
"-36.0","-1.07925283326","5.60581638364e-05"
"-35.0","-1.0492735879","5.71687142705e-05"
"-34.0","-1.01929434253","5.83150113654e-05"
"-33.0","-0.989315097158","5.94987372703e-05"
"-32.0","-0.95933585179","6.07216847498e-05"
"-31.0","-0.929356606421","6.19857671049e-05"
"-30.0","-0.899377361053","6.32930292876e-05"
"-29.0","-0.869398115685","6.46456603983e-05"
"-28.0","-0.839418870316","6.60460077963e-05"
"-27.0","-0.809439624948","6.74965931025e-05"
"-26.0","-0.779460379579","6.90001304381e-05"
"-25.0","-0.749481134211","7.05595473264e-05"
"-24.0","-0.719501888842","7.21780087945e-05"
"-23.0","-0.689522643474","7.38589453569e-05"
"-22.0","-0.659543398105","7.56060857638e-05"
"-21.0","-0.629564152737","7.74234956675e-05"
"-20.0","-0.599584907369","7.93156237492e-05"
"-19.0","-0.569605662","8.12873573988e-05"
"-18.0","-0.539626416632","8.33440908542e-05"
"-17.0","-0.509647171263","8.54918099276e-05"
"-16.0","-0.479667925895","8.7737199332e-05"
"-15.0","-0.449688680526","9.008778161e-05"
"-14.0","-0.419709435158","9.25521015659e-05"
"-13.0","-0.38973018979","9.51399783743e-05"
"-12.0","-0.359750944421","9.78628620552e-05"
"-11.0","-0.329771699053","0.00010073435749"
"-10.0","-0.299792453684","0.00010377102969"
"-9.0","-0.269813208316","0.000106993705424"
"-8.0","-0.239833962947","0.000110429701644"
"-7.0","-0.209854717579","0.000114116899949"
"-6.0","-0.179875472211","0.000118111785293"
"-5.0","-0.149896226842","0.000122506795707"
"-4.0","-0.119916981474","0.000127472066696"
"-3.0","-0.0899377361053","0.000133370418807"
"-2.0","-0.0599584907369","0.000141133024857"
"-1.0","-0.0299792453684","0.000153750339242"
"0.0","0.0","0.000181660985382"
"1.0","0.0299792453684","0.000209664371764"
"2.0","0.0599584907369","0.000196197876466"
"3.0","0.0899377361053","0.00018888772831"
"4.0","0.119916981474","0.000182563243936"
"5.0","0.149896226842","0.000185946845588"
"6.0","0.179875472211","0.000193458885923"
"7.0","0.209854717579","0.000203403036172"
"8.0","0.239833962947","0.000215537131062"
"9.0","0.269813208316","0.000230166296015"
"10.0","0.299792453684","0.000248001271278"
"11.0","0.329771699053","0.000270281125392"
"12.0","0.359750944421","0.000299141773623"
"13.0","0.38973018979","0.000338455815572"
"14.0","0.419709435158","0.000395839269117"
"15.0","0.449688680526","0.000488015295719"
"16.0","0.479667925895","0.000657519322555"
"17.0","0.509647171263","0.00103556914124"
"18.0","0.539626416632","0.00210760021347"
"19.0","0.569605662","0.0043811270384"
"20.0","0.599584907369","0.0027579711957"
"21.0","0.629564152737","0.0013609904951"
"22.0","0.659543398105","0.000948364322609"
"23.0","0.689522643474","0.000846996878894"
"24.0","0.719501888842","0.000894202870115"
"25.0","0.749481134211","0.00110552330126"
"26.0","0.779460379579","0.00169114389175"
"27.0","0.809439624948","0.0022304220272"
"28.0","0.839418870316","0.00217626917496"
"29.0","0.869398115685","0.00318346212272"
"30.0","0.899377361053","0.00652959858555"
"31.0","0.929356606421","0.00930806875103"
"32.0","0.95933585179","0.00859304879839"
"33.0","0.989315097158","0.0154375307157"
"34.0","1.01929434253","0.0165749847104"
"35.0","1.0492735879","0.00765517562783"
"36.0","1.07925283326","0.00365256069961"
"37.0","1.10923207863","0.00223306461023"
