"v / cm^-1","v / THz","I_Raman,Norm / AU"
"-50.0","-1.49896226842","9.20647174582e-06"
"-49.0","-1.46898302305","9.37599394629e-06"
"-48.0","-1.43900377768","9.55082247786e-06"
"-47.0","-1.40902453232","9.73119327207e-06"
"-46.0","-1.37904528695","9.91735604079e-06"
"-45.0","-1.34906604158","1.01095752857e-05"
"-44.0","-1.31908679621","1.03081313975e-05"
"-43.0","-1.28910755084","1.05133218552e-05"
"-42.0","-1.25912830547","1.07254625353e-05"
"-41.0","-1.22914906011","1.09448891432e-05"
"-40.0","-1.19916981474","1.11719587816e-05"
"-39.0","-1.16919056937","1.14070516698e-05"
"-38.0","-1.139211324","1.16505730325e-05"
"-37.0","-1.10923207863","1.1902955178e-05"
"-36.0","-1.07925283326","1.21646597884e-05"
"-35.0","-1.0492735879","1.24361804479e-05"
"-34.0","-1.01929434253","1.2718045439e-05"
"-33.0","-0.989315097158","1.30108208414e-05"
"-32.0","-0.95933585179","1.33151139728e-05"
"-31.0","-0.929356606421","1.36315772168e-05"
"-30.0","-0.899377361053","1.39609122927e-05"
"-29.0","-0.869398115685","1.43038750266e-05"
"-28.0","-0.839418870316","1.46612806979e-05"
"-27.0","-0.809439624948","1.50340100456e-05"
"-26.0","-0.779460379579","1.54230160323e-05"
"-25.0","-0.749481134211","1.58293314865e-05"
"-24.0","-0.719501888842","1.62540777606e-05"
"-23.0","-0.689522643474","1.66984745735e-05"
"-22.0","-0.659543398105","1.71638512374e-05"
"-21.0","-0.629564152737","1.76516595099e-05"
"-20.0","-0.599584907369","1.8163488367e-05"
"-19.0","-0.569605662","1.87010810516e-05"
"-18.0","-0.539626416632","1.92663548407e-05"
"-17.0","-0.509647171263","1.98614240736e-05"
"-16.0","-0.479667925895","2.04886271192e-05"
"-15.0","-0.449688680526","2.11505581374e-05"
"-14.0","-0.419709435158","2.18501047119e-05"
"-13.0","-0.38973018979","2.25904927393e-05"
"-12.0","-0.359750944421","2.33753403585e-05"
"-11.0","-0.329771699053","2.4208723251e-05"
"-10.0","-0.299792453684","2.50952543906e-05"
"-9.0","-0.269813208316","2.60401823556e-05"
"-8.0","-0.239833962947","2.70495137736e-05"
"-7.0","-0.209854717579","2.81301675513e-05"
"-6.0","-0.179875472211","2.92901715604e-05"
"-5.0","-0.149896226842","3.05389169123e-05"
"-4.0","-0.119916981474","3.18874916609e-05"
"-3.0","-0.0899377361053","3.334912608e-05"
"-2.0","-0.0599584907369","3.49397978274e-05"
"-1.0","-0.0299792453684","3.66790713065e-05"
"0.0","0.0","3.85912884381e-05"
"1.0","0.0299792453684","4.07073009406e-05"
"2.0","0.0599584907369","4.30670620657e-05"
"3.0","0.0899377361053","4.57236281404e-05"
"4.0","0.119916981474","4.87495600528e-05"
"5.0","0.149896226842","5.22475857541e-05"
"6.0","0.179875472211","5.6369201937e-05"
"7.0","0.209854717579","6.13489201172e-05"
"8.0","0.239833962947","6.75714426995e-05"
"9.0","0.269813208316","7.57138526005e-05"
"10.0","0.299792453684","8.70759803082e-05"
"11.0","0.329771699053","0.00010444298578"
"12.0","0.359750944421","0.000134698406204"
"13.0","0.38973018979","0.000198349827957"
"14.0","0.419709435158","0.000370038982221"
"15.0","0.449688680526","0.000803807030963"
"16.0","0.479667925895","0.000623901169958"
"17.0","0.509647171263","0.000307794357511"
"18.0","0.539626416632","0.000212057383865"
"19.0","0.569605662","0.000186086783525"
"20.0","0.599584907369","0.000185521565407"
"21.0","0.629564152737","0.000197805533788"
"22.0","0.659543398105","0.000218502282101"
"23.0","0.689522643474","0.00025894397867"
"24.0","0.719501888842","0.000308358525831"
"25.0","0.749481134211","0.000383332400305"
"26.0","0.779460379579","0.00055860254421"
"27.0","0.809439624948","0.000922282473266"
"28.0","0.839418870316","0.000936206855472"
"29.0","0.869398115685","0.0010698459417"
"30.0","0.899377361053","0.00168429090174"
"31.0","0.929356606421","0.00346894456611"
"32.0","0.95933585179","0.00833395961267"
"33.0","0.989315097158","0.00730570795334"
"34.0","1.01929434253","0.00365381537754"
"35.0","1.0492735879","0.00318246152083"
"36.0","1.07925283326","0.00532401069618"
"37.0","1.10923207863","0.00961544723605"
"38.0","1.139211324","0.00539485247614"
"39.0","1.16919056937","0.00332141050649"
"40.0","1.19916981474","0.00303789456887"
"41.0","1.22914906011","0.00167137757404"
"42.0","1.25912830547","0.00108247482762"
"43.0","1.28910755084","0.000881275819035"
"44.0","1.31908679621","0.000834776846608"
"45.0","1.34906604158","0.000883739526095"
"46.0","1.37904528695","0.00102818551669"
"47.0","1.40902453232","0.00131256294617"
"48.0","1.43900377768","0.00186043636954"
"49.0","1.46898302305","0.00304684847449"
"50.0","1.49896226842","0.00617516339094"
"51.0","1.52894151379","0.013386072787"
"52.0","1.55892075916","0.0123978654622"
"53.0","1.58890000453","0.016455027769"
"54.0","1.6188792499","0.0280676640482"
"55.0","1.64885849526","0.0138231456224"
"56.0","1.67883774063","0.00577388542887"
"57.0","1.708816986","0.00302423939082"
"58.0","1.73879623137","0.00185806126133"
"59.0","1.76877547674","0.00126611654748"
"60.0","1.79875472211","0.000926675524248"
"61.0","1.82873396747","0.00071511874526"
"62.0","1.85871321284","0.000575616990001"
"63.0","1.88869245821","0.000480548268391"
"64.0","1.91867170358","0.000416084812953"
"65.0","1.94865094895","0.000376658729062"
"66.0","1.97863019432","0.000349208643584"
"67.0","2.00860943968","0.000329431315118"
"68.0","2.03858868505","0.000334072672061"
"69.0","2.06856793042","0.000371733524986"
"70.0","2.09854717579","0.000474262045914"
"71.0","2.12852642116","0.000748713146096"
"72.0","2.15850566653","0.00156426557504"
"73.0","2.1884849119","0.0031266233978"
"74.0","2.21846415726","0.0019000196956"
"75.0","2.24844340263","0.000822614638865"
"76.0","2.278422648","0.000459789781017"
"77.0","2.30840189337","0.000313508509453"
"78.0","2.33838113874","0.000242183775778"
"79.0","2.36836038411","0.000203107524605"
"80.0","2.39833962947","0.00017965366189"
"81.0","2.42831887484","0.000165167542964"
"82.0","2.45829812021","0.000157122231141"
"83.0","2.48827736558","0.000153906015132"
"84.0","2.51825661095","0.000154916634714"
"85.0","2.54823585632","0.00016030274175"
"86.0","2.57821510169","0.000170198708732"
"87.0","2.60819434705","0.000185807341122"
"88.0","2.63817359242","0.000210627574027"
"89.0","2.66815283779","0.000249905839036"
"90.0","2.69813208316","0.000315140319783"
"91.0","2.72811132853","0.000435012235224"
"92.0","2.7580905739","0.00069719161275"
"93.0","2.78806981926","0.00137697902388"
"94.0","2.81804906463","0.00216341833638"
"95.0","2.84802831","0.0022644053655"
"96.0","2.87800755537","0.0026076861517"
"97.0","2.90798680074","0.00442912461053"
"98.0","2.93796604611","0.00811149121305"
"99.0","2.96794529147","0.00432682690451"
"100.0","2.99792453684","0.00180891573737"
"101.0","3.02790378221","0.000978846725721"
"102.0","3.05788302758","0.000668218436502"
